provincia,renta_bruta_media
Albacete,16604
Alicante,19603
Almería,15879
Asturias,19263
Ávila,17345
Badajoz,15113
Barcelona,30746
Burgos,22478
Cáceres,15773
Cádiz,17004
Cantabria,19676
Castellón,19448
Ciudad Real,16766
Córdoba,16163
Cuenca,17337
Girona,31051
Granada,16108
Guadalajara,20180
Huelva,16881
Huesca,22933
Illes Balears,27814
Jaén,14440
La Rioja,21118
Las Palmas,22499
León,18440
Lleida,23784
Lugo,16344
Madrid,25179
Málaga,15618
Murcia,19692
Ourense,16806
Palencia,19171
Pontevedra,24610
Salamanca,17879
Segovia,21066
Sevilla,17654
Soria,19216
Tarragona,23434
Teruel,18797
Toledo,18671
Valencia,20105
Valladolid,19844
Zamora,16878
Zaragoza,19366
