Provincia,Capital
Álava,Vitoria
Albacete,Albacete
Alicante,Alicante
Almería,Almería
Asturias,Oviedo
Ávila,Ávila
Badajoz,Badajoz
Baleares,Palma de Mallorca
Barcelona,Barcelona
Burgos,Burgos
Cáceres,Cáceres
Cádiz,Cádiz
Cantabria,Santander,Cantabria
Castellón,Castellón de la Plana
Ciudad Real,Ciudad Real
Córdoba,Córdoba
La Coruña,La Coruña
Cuenca,Cuenca
Gerona,Gerona
Granada,Granada
Guadalajara,Guadalajara
Guipúzcoa,San Sebastián
Huelva,Huelva
Huesca,Huesca
Jaén,Jaén
León,León
Lérida,Lérida
Lugo,Lugo
Madrid,Madrid,Comunidad de Madrid
Málaga,Málaga
Murcia,Murcia,Región de Murcia
Navarra,Pamplona,Navarra
Orense,Orense
Palencia,Palencia
Las Palmas,Las Palmas de Gran Canaria
Pontevedra,Pontevedra
La Rioja,Logroño,La Rioja
Salamanca,Salamanca
Segovia,Segovia
Sevilla,Sevilla
Soria,Soria
Tarragona,Tarragona
Santa Cruz de Tenerife,Santa Cruz de Tenerife
Teruel,Teruel
Toledo,Toledo
Valencia,Valencia
Valladolid,Valladolid
Vizcaya,Bilbao
Zamora,Zamora
Zaragoza,Zaragoza
Ceuta,Ceuta
Melilla,Melilla
