municipio,provincia,codigo_ine,num_centros_salud,municipio_nombre_humano
Ababuj,Teruel,44001,1,Ababuj
Abades,Segovia,40001,1,Abades
Abadía,Cáceres,10001,1,Abadía
Abadín,Lugo,27001,1,Abadín
Abadiño,Bizkaia,48001,2,Abadiño
Abáigar,Navarra,31001,0,Abáigar
Abajas,Burgos,9001,1,Abajas
Ábalos,La Rioja,26001,1,Ábalos
Abaltzisketa,Gipuzkoa,20001,1,Abaltzisketa
Abánades,Guadalajara,19001,1,Abánades
Abanilla,Murcia,30001,5,Abanilla
Abanto,Zaragoza,50001,1,Abanto
Abanto y Ciérvana-Abanto Zierbena,Bizkaia,48002,2,Abanto y Ciérvana-Abanto Zierbena
Abarán,Murcia,30002,3,Abarán
Abarca de Campos,Palencia,34001,1,Abarca de Campos
Abárzuza/Abartzuza,Navarra,31002,1,Abárzuza/Abartzuza
Abaurregaina/Abaurrea Alta,Navarra,31003,1,Abaurregaina/Abaurrea Alta
Abaurrepea/Abaurrea Baja,Navarra,31004,1,Abaurrepea/Abaurrea Baja
Abegondo,A Coruña,15001,1,Abegondo
Abejar,Soria,42001,1,Abejar
Abejuela,Teruel,44002,0,Abejuela
Abella de la Conca,Lleida,25001,0,Abella de la Conca
Abengibre,Albacete,2001,1,Abengibre
Abenójar,Ciudad Real,13001,2,Abenójar
Aberin,Navarra,31005,1,Aberin
Abertura,Cáceres,10002,1,Abertura
Abezames,Zamora,49002,1,Abezames
Abia de la Obispalía,Cuenca,16001,1,Abia de la Obispalía
Abia de las Torres,Palencia,34003,1,Abia de las Torres
Abiego,Huesca,22001,2,Abiego
Abizanda,Huesca,22002,3,Abizanda
Abla,Almería,4001,1,Abla
Ablanque,Guadalajara,19002,1,Ablanque
Ablitas,Navarra,31006,1,Ablitas
Abrera,Barcelona,8001,3,Abrera
Abrucena,Almería,4002,1,Abrucena
Abusejo,Salamanca,37001,1,Abusejo
Acebeda (La),Madrid,28001,1,La Acebeda
Acebedo,León,24001,3,Acebedo
Acebo,Cáceres,10003,1,Acebo
Acebrón (El),Cuenca,16002,1,El Acebrón
Acedera,Badajoz,6001,2,Acedera
Acehúche,Cáceres,10004,1,Acehúche
Aceituna,Cáceres,10005,1,Aceituna
Acered,Zaragoza,50002,1,Acered
Aceuchal,Badajoz,6002,1,Aceuchal
Adahuesca,Huesca,22003,1,Adahuesca
Adalia,Valladolid,47001,1,Adalia
Adamuz,Córdoba,14001,2,Adamuz
Adanero,Ávila,5001,1,Adanero
