codigo_ine,municipio,provincia,comunidad_autonoma,municipio_nombre_humano,linea_costa_provincia,linea_montana_provincia,poblacion,superficie,densidad_poblacion
44001,Ababuj,Teruel,Aragón,Ababuj,2,1,76,54.3,1.4
40001,Abades,Segovia,Castilla y León,Abades,3,1,835,31.98,26.11
10001,Abadía,Cáceres,Extremadura,Abadía,0,3,359,45.08,7.96
27001,Abadín,Lugo,Galicia,Abadín,1,2,2297,195.56,11.75
48001,Abadiño,Bizkaia,País Vasco,Abadiño,1,2,7618,36.05,211.32
31001,Abáigar,Navarra,Comunidad Foral de Navarra,Abáigar,2,2,84,4.86,17.28
09001,Abajas,Burgos,Castilla y León,Abajas,2,2,29,35.07,0.83
26001,Ábalos,La Rioja,La Rioja,Ábalos,2,2,248,18.22,13.61
20001,Abaltzisketa,Gipuzkoa,País Vasco,Abaltzisketa,1,2,312,11.18,27.91
19001,Abánades,Guadalajara,Castilla-La Mancha,Abánades,0,1,55,36.08,1.52
30001,Abanilla,Murcia,Región de Murcia,Abanilla,1,2,6116,235.62,25.96
50001,Abanto,Zaragoza,Aragón,Abanto,2,1,89,63.84,1.39
48002,Abanto y Ciérvana-Abanto Zierbena,Bizkaia,País Vasco,Abanto y Ciérvana-Abanto Zierbena,1,2,9436,16.2,582.47
30002,Abarán,Murcia,Región de Murcia,Abarán,1,2,13066,115.04,113.58
34001,Abarca de Campos,Palencia,Castilla y León,Abarca de Campos,2,2,45,11.39,3.95
31002,Abárzuza/Abartzuza,Navarra,Comunidad Foral de Navarra,Abárzuza/Abartzuza,2,2,538,23.02,23.37
31003,Abaurregaina/Abaurrea Alta,Navarra,Comunidad Foral de Navarra,Abaurregaina/Abaurrea Alta,2,2,128,21.36,5.99
31004,Abaurrepea/Abaurrea Baja,Navarra,Comunidad Foral de Navarra,Abaurrepea/Abaurrea Baja,2,2,29,10.89,2.66
15001,Abegondo,A Coruña,Galicia,Abegondo,1,3,5494,83.9,65.49
42001,Abejar,Soria,Castilla y León,Abejar,3,1,273,23.43,11.65
44002,Abejuela,Teruel,Aragón,Abejuela,2,1,57,86.67,0.66
25001,Abella de la Conca,Lleida,Cataluña,Abella de la Conca,2,1,171,77.89,2.2
02001,Abengibre,Albacete,Castilla-La Mancha,Abengibre,2,2,748,30.77,24.31
13001,Abenójar,Ciudad Real,Castilla-La Mancha,Abenójar,3,2,1339,423.43,3.16
31005,Aberin,Navarra,Comunidad Foral de Navarra,Aberin,2,2,346,21.25,16.28
10002,Abertura,Cáceres,Extremadura,Abertura,0,3,400,62.71,6.38
49002,Abezames,Zamora,Castilla y León,Abezames,3,2,58,23.26,2.49
16001,Abia de la Obispalía,Cuenca,Castilla-La Mancha,Abia de la Obispalía,2,2,57,63.05,0.9
34003,Abia de las Torres,Palencia,Castilla y León,Abia de las Torres,2,2,167,27.16,6.15
22001,Abiego,Huesca,Aragón,Abiego,2,1,271,38.19,7.1
22002,Abizanda,Huesca,Aragón,Abizanda,2,1,143,44.84,3.19
04001,Abla,Almería,Andalucía,Abla,1,2,1258,45.24,27.8
19002,Ablanque,Guadalajara,Castilla-La Mancha,Ablanque,0,1,60,51.4,1.17
31006,Ablitas,Navarra,Comunidad Foral de Navarra,Ablitas,2,2,2480,77.48,32.01
08001,Abrera,Barcelona,Cataluña,Abrera,1,2,12620,19.98,631.51
04002,Abrucena,Almería,Andalucía,Abrucena,1,2,1208,83.68,14.44
37001,Abusejo,Salamanca,Castilla y León,Abusejo,0,2,166,23.1,7.19
28001,Acebeda (La),Madrid,Comunidad de Madrid,La Acebeda,3,2,55,22.06,2.49
24001,Acebedo,León,Castilla y León,Acebedo,2,1,185,50.18,3.69
10003,Acebo,Cáceres,Extremadura,Acebo,0,3,560,57.0,9.82
16002,Acebrón (El),Cuenca,Castilla-La Mancha,El Acebrón,2,2,227,22.12,10.26
06001,Acedera,Badajoz,Extremadura,Acedera,3,0,820,82.33,9.96
10004,Acehúche,Cáceres,Extremadura,Acehúche,0,3,813,91.06,8.93
