entidad_nombre_humano,municipio_nombre_humano
Alegria-Dulantzi,Alegría-Dulantzi
Egileta,Alegría-Dulantzi
Aloria,Amurrio
Amurrio,Amurrio
Artomaña,Amurrio
Baranbio,Amurrio
Delika,Amurrio
Larrinbe,Amurrio
Lekamaña,Amurrio
Lezama,Amurrio
Saratxo,Amurrio
Tertanga,Amurrio
Arexola,Aramaio
Azkoaga,Aramaio
Barajuen,Aramaio
Etxaguen,Aramaio
Gantzaga,Aramaio
Ibarra,Aramaio
Oleta,Aramaio
Untzilla,Aramaio
Uribarri,Aramaio
Artziniega,Artziniega
Campijo,Artziniega
Gordeliz,Artziniega
Mendieta,Artziniega
Retes De Tudela/Erretes Tudela,Artziniega
Santa Koloma,Artziniega
Sojoguti/Soxoguti,Artziniega
Armiñon,Armiñón
Estavillo,Armiñón
Lacorzana,Armiñón
Arroiabe,Arrazua-Ubarrundia
Arzubiaga,Arrazua-Ubarrundia
Betolaza,Arrazua-Ubarrundia
Ziriano,Arrazua-Ubarrundia
Durana,Arrazua-Ubarrundia
Landa,Arrazua-Ubarrundia
Luko,Arrazua-Ubarrundia
Mendibil,Arrazua-Ubarrundia
Nanclares De Ganboa/Langara Ganboa,Arrazua-Ubarrundia
Ullivarri-Gamboa,Arrazua-Ubarrundia
Zurbano/Zurbao,Arrazua-Ubarrundia
Albeiz/Albeniz,Asparrena
Ametzaga,Asparrena
Andoin,Asparrena
Araia,Asparrena
Arriola,Asparrena
Egino,Asparrena
Gordoa,Asparrena
Ibarguren,Asparrena
Ilarduia,Asparrena
Urabain,Asparrena
Agiñaga,Ayala/Aiara
Añes,Ayala/Aiara
Beotegi,Ayala/Aiara
Costera/Opellora,Ayala/Aiara
Etxegoien,Ayala/Aiara
Erbi,Ayala/Aiara
Izoria,Ayala/Aiara
Lejarzo/Lexartzu,Ayala/Aiara
Luxo/Lujo,Ayala/Aiara
Luiaondo,Ayala/Aiara
Llanteno,Ayala/Aiara
Madaria,Ayala/Aiara
Maroño,Ayala/Aiara
Menagarai,Ayala/Aiara
Menoio,Ayala/Aiara
Murga,Ayala/Aiara
Ozeka,Ayala/Aiara
Olabezar,Ayala/Aiara
Quejana/Kexaa,Ayala/Aiara
Arespalditza/Respaldiza,Ayala/Aiara
Retes De Llanteno,Ayala/Aiara
Salmanton,Ayala/Aiara
Soxo/Sojo,Ayala/Aiara
Zuaza/Zuhatza,Ayala/Aiara
Baños De Ebro/Mañueta,Baños De Ebro/Mañueta
Audikana,Barrundia
Dallo,Barrundia
Etxabarri-Urtupiña,Barrundia
Elgea,Barrundia
Etura,Barrundia
Gebara,Barrundia
Heredia,Barrundia
Hermua,Barrundia
Larrea,Barrundia
Marieta-Larrintzar,Barrundia
Maturana,Barrundia
Mendijur,Barrundia
Ozaeta,Barrundia
Barrundia,Barrundia
Berantevilla,Berantevilla
Escanzana,Berantevilla
Lacervilla,Berantevilla
Lacorzanilla,Berantevilla
Mijancas,Berantevilla
Santa Cruz Del Fierro,Berantevilla
Santurde,Berantevilla
Tobera,Berantevilla
Angostina,Bernedo
Arluzea,Bernedo
Bernedo,Bernedo
Berroci,Bernedo
Izarza,Bernedo
Markinez,Bernedo
Navarrete,Bernedo
Okina,Bernedo
Quintana,Bernedo
San Roman De Campezo/Durruma Kanpezu,Bernedo
Urarte,Bernedo
Urturi,Bernedo
Villafria,Bernedo
Antoñana,Campezo/Kanpezu
Bujanda,Campezo/Kanpezu
Orbiso,Campezo/Kanpezu
Oteo,Campezo/Kanpezu
Santa Cruz De Campezo/Santikurutze Kanpezu,Campezo/Kanpezu
Acosta/Okoizta,Zigoitia
Apodaka,Zigoitia
Berrikano,Zigoitia
Buruaga,Zigoitia
Zestafe,Zigoitia
Zigoitia Etxaguen,Zigoitia
Etxabarri-Ibiña,Zigoitia
Eribe,Zigoitia
Gopegi,Zigoitia
Larrinoa,Zigoitia
Letona,Zigoitia
Manurga,Zigoitia
Mendarozketa,Zigoitia
Murua,Zigoitia
Olano,Zigoitia
Ondategi,Zigoitia
Zaitegi,Zigoitia
