codigo_ine,municipio,provincia,municipio_nombre_humano,num_centros_salud,num_centros_urgencias,num_hospitales,num_colegios,num_universidades
44001,Ababuj,Teruel,Ababuj,1,0,0,0,0
40001,Abades,Segovia,Abades,1,0,0,0,0
10001,Abadía,Cáceres,Abadía,1,0,0,0,0
27001,Abadín,Lugo,Abadín,1,0,0,2,0
48001,Abadiño,Bizkaia,Abadiño,2,0,0,6,0
31001,Abáigar,Navarra,Abáigar,0,0,0,0,0
9001,Abajas,Burgos,Abajas,1,0,0,0,0
26001,Ábalos,La Rioja,Ábalos,1,0,0,0,0
20001,Abaltzisketa,Gipuzkoa,Abaltzisketa,1,0,0,1,0
19001,Abánades,Guadalajara,Abánades,1,0,0,0,0
30001,Abanilla,Murcia,Abanilla,5,1,0,5,0
50001,Abanto,Zaragoza,Abanto,1,0,0,0,0
48002,Abanto y Ciérvana-Abanto Zierbena,Bizkaia,Abanto y Ciérvana-Abanto Zierbena,2,0,0,0,0
30002,Abarán,Murcia,Abarán,3,2,0,7,0
34001,Abarca de Campos,Palencia,Abarca de Campos,1,0,0,0,0
31002,Abárzuza/Abartzuza,Navarra,Abárzuza/Abartzuza,1,1,0,1,0
31003,Abaurregaina/Abaurrea Alta,Navarra,Abaurregaina/Abaurrea Alta,1,0,0,0,0
31004,Abaurrepea/Abaurrea Baja,Navarra,Abaurrepea/Abaurrea Baja,1,0,0,0,0
15001,Abegondo,A Coruña,Abegondo,1,0,0,32,0
42001,Abejar,Soria,Abejar,1,0,0,0,0
44002,Abejuela,Teruel,Abejuela,0,0,0,0,0
25001,Abella de la Conca,Lleida,Abella de la Conca,0,0,0,0,0
2001,Abengibre,Albacete,Abengibre,1,0,0,2,0
13001,Abenójar,Ciudad Real,Abenójar,2,1,0,1,0
31005,Aberin,Navarra,Aberin,1,0,0,0,0
10002,Abertura,Cáceres,Abertura,1,0,0,0,0
49002,Abezames,Zamora,Abezames,1,0,0,0,0
16001,Abia de la Obispalía,Cuenca,Abia de la Obispalía,1,0,0,0,0
34003,Abia de las Torres,Palencia,Abia de las Torres,1,0,0,0,0
22001,Abiego,Huesca,Abiego,2,1,0,0,0
22002,Abizanda,Huesca,Abizanda,3,0,0,0,0
4001,Abla,Almería,Abla,1,1,0,3,0
19002,Ablanque,Guadalajara,Ablanque,1,0,0,0,0
31006,Ablitas,Navarra,Ablitas,1,0,0,3,0
8001,Abrera,Barcelona,Abrera,3,1,0,0,0
4002,Abrucena,Almería,Abrucena,1,0,0,1,0
37001,Abusejo,Salamanca,Abusejo,1,0,0,0,0
28001,Acebeda (La),Madrid,La Acebeda,1,0,0,0,0
24001,Acebedo,León,Acebedo,3,0,0,0,0
10003,Acebo,Cáceres,Acebo,1,0,0,1,0
16002,Acebrón (El),Cuenca,El Acebrón,1,0,0,0,0
6001,Acedera,Badajoz,Acedera,2,0,0,2,0
10004,Acehúche,Cáceres,Acehúche,1,0,0,1,0
10005,Aceituna,Cáceres,Aceituna,1,0,0,0,0
50002,Acered,Zaragoza,Acered,1,0,0,0,0
6002,Aceuchal,Badajoz,Aceuchal,1,1,0,2,0
22003,Adahuesca,Huesca,Adahuesca,1,0,0,2,0
47001,Adalia,Valladolid,Adalia,1,0,0,0,0
14001,Adamuz,Córdoba,Adamuz,2,1,0,5,0
5001,Adanero,Ávila,Adanero,1,0,0,0,0
38001,Adeje,Santa Cruz de Tenerife,Adeje,2,1,1,12,0
46001,Ademuz,Valencia,Ademuz,1,1,0,4,0
31007,Adiós,Navarra,Adiós,1,0,0,0,0
19003,Adobes,Guadalajara,Adobes,1,0,0,0,0
46002,Ador,Valencia,Ador,1,1,0,3,0
4003,Adra,Almería,Adra,3,1,0,30,0
5002,Adrada (La),Ávila,La Adrada,1,0,0,3,0
9003,Adrada de Haza,Burgos,Adrada de Haza,1,0,0,0,0
40002,Adrada de Pirón,Segovia,Adrada de Pirón,1,0,0,0,0
42003,Adradas,Soria,Adradas,2,0,0,0,0
40003,Adrados,Segovia,Adrados,1,0,0,0,0
20002,Aduna,Gipuzkoa,Aduna,0,0,0,1,0
35001,Agaete,Las Palmas,Agaete,2,1,0,5,0
37002,Agallas,Salamanca,Agallas,2,0,0,0,0
25002,Àger,Lleida,Àger,3,0,0,1,0
36020,Agolada,Pontevedra,Agolada,1,0,0,1,0
50003,Agón,Zaragoza,Agón,1,0,0,0,0
26002,Agoncillo,La Rioja,Agoncillo,1,0,0,2,0
3002,Agost,Alicante,Agost,1,1,0,6,0
25003,Agramunt,Lleida,Agramunt,4,0,0,5,0
42004,Ágreda,Soria,Ágreda,2,1,0,4,0
3003,Agres,Alicante,Agres,1,0,0,0,0
18001,Agrón,Granada,Agrón,1,0,0,0,0
41001,Aguadulce,Sevilla,Aguadulce,1,0,0,0,0
50004,Aguarón,Zaragoza,Aguarón,1,0,0,1,0
9006,Aguas Cándidas,Burgos,Aguas Cándidas,3,0,0,0,0
47002,Aguasal,Valladolid,Aguasal,0,0,0,0,0
44003,Aguatón,Teruel,Aguatón,1,0,0,0,0
44004,Aguaviva,Teruel,Aguaviva,1,0,0,1,0
13002,Agudo,Ciudad Real,Agudo,1,1,0,2,0
22004,Agüero,Huesca,Agüero,1,0,0,0,0
40004,Aguilafuente,Segovia,Aguilafuente,1,1,0,1,0
