municipio,provincia,codigo_ine,municipio_nombre_humano,renta_bruta_media
Ababuj,Teruel,44001,Ababuj,18797
Abades,Segovia,40001,Abades,21066
Abadía,Cáceres,10001,Abadía,15773
Abadín,Lugo,27001,Abadín,15835
Abadiño,Bizkaia,48001,Abadiño,46347
Abáigar,Navarra,31001,Abáigar,21038
Abajas,Burgos,9001,Abajas,22478
Ábalos,La Rioja,26001,Ábalos,21118
Abaltzisketa,Gipuzkoa,20001,Abaltzisketa,58735
Abánades,Guadalajara,19001,Abánades,20180
Abanilla,Murcia,30001,Abanilla,19464
Abanto,Zaragoza,50001,Abanto,19366
Abanto y Ciérvana-Abanto Zierbena,Bizkaia,48002,Abanto y Ciérvana-Abanto Zierbena,40847
Abarán,Murcia,30002,Abarán,29432
Abarca de Campos,Palencia,34001,Abarca de Campos,19171
Abárzuza/Abartzuza,Navarra,31002,Abárzuza/Abartzuza,18439
Abaurregaina/Abaurrea Alta,Navarra,31003,Abaurregaina/Abaurrea Alta,16542
Abaurrepea/Abaurrea Baja,Navarra,31004,Abaurrepea/Abaurrea Baja,15339
Abegondo,A Coruña,15001,Abegondo,23370
Abejar,Soria,42001,Abejar,19216
Abejuela,Teruel,44002,Abejuela,18797
Abella de la Conca,Lleida,25001,Abella de la Conca,23784
Abengibre,Albacete,2001,Abengibre,16604
Abenójar,Ciudad Real,13001,Abenójar,16885
Aberin,Navarra,31005,Aberin,20637
Abertura,Cáceres,10002,Abertura,15773
Abezames,Zamora,49002,Abezames,16878
Abia de la Obispalía,Cuenca,16001,Abia de la Obispalía,17337
Abia de las Torres,Palencia,34003,Abia de las Torres,19171
Abiego,Huesca,22001,Abiego,22933
Abizanda,Huesca,22002,Abizanda,22933
Abla,Almería,4001,Abla,15629
Ablanque,Guadalajara,19002,Ablanque,20180
Ablitas,Navarra,31006,Ablitas,16998
Abrera,Barcelona,8001,Abrera,31021
Abrucena,Almería,4002,Abrucena,15097
Abusejo,Salamanca,37001,Abusejo,17879
Acebeda (La),Madrid,28001,La Acebeda,25179
Acebedo,León,24001,Acebedo,18440
Acebo,Cáceres,10003,Acebo,15773
Acebrón (El),Cuenca,16002,El Acebrón,17337
Acedera,Badajoz,6001,Acedera,15113
Acehúche,Cáceres,10004,Acehúche,15773
Aceituna,Cáceres,10005,Aceituna,15773
Acered,Zaragoza,50002,Acered,19366
Aceuchal,Badajoz,6002,Aceuchal,16333
