codigo_ine,num_centros_salud,num_centros_urgencias,num_hospitales,num_colegios,num_universidades,linea_costa_provincia,linea_montana_provincia,poblacion,superficie,densidad_poblacion,feb_avg_min_temp,feb_avg_max_temp,feb_avg_temp,feb_avg_humidity,feb_avg_wind,feb_avg_min_rain,feb_avg_max_rain,feb_avg_rain,feb_avg_clouds,feb_avg_sunshine_hours,jul_avg_min_temp,jul_avg_max_temp,jul_avg_temp,jul_avg_humidity,jul_avg_wind,jul_avg_min_rain,jul_avg_max_rain,jul_avg_rain,jul_avg_clouds,jul_avg_sunshine_hours,kms_capital_provincia,altitud,renta_bruta_media,precio_m2_venta,num_casas_venta,precio_m2_alquiler,num_casas_alquiler,precio_m2_venta_provincia,precio_medio_venta_provincia,precio_m2_alquiler_provincia,precio_medio_alquiler_provincia,tasa_actividad_provincia,tasa_paro_provincia,tasa_empleo_provincia,num_empleos_provincia,cobertura_30,cobertura_100,cobertura_3g,cobertura_4g,sitios_comercio,sitios_turismo,sitios_alojamiento,sitios_ocio,sitios_natural,sitios_servicio,sitios_actividad,sitios_entretenimiento,sitios_catering,sitios_sport,sitios_edificio,sitios_acceso_limitado,sitios_artificial,sitios_acceso,sitios_sin_acceso,sitios_patrimonio,sitios_carretera,sitios_cuota,sitios_comodidad
44001,1,0,0,0,0,2,1,76,54.3,1.4,1.89,23.34,11.46,62.96,11.3,0,3.0,0.04,28.33,135.6,17.32,34.63,26.26,62.23,8.71,0,12.0,0.02,15.65,272.0,42.08,1371,18797,0,0,0,0,1068,103002,6,501,57.96,9.07,52.7,425,95.0,0.0,99.0,89.0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40001,1,0,0,0,0,3,1,835,31.98,26.11,-3.63,17.89,7.29,71.71,10.87,0,3.0,0.04,28.94,122.1,13.56,38.27,26.79,35.39,9.68,0,3.0,0.02,5.98,347.5,28.2,975,21066,0,0,0,0,1329,133270,9,790,59.18,7.74,54.6,427,100.0,100.0,100.0,100.0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
10001,1,0,0,0,0,0,3,359,45.08,7.96,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0,111.15,453,15773,250.0,1,0,0,1132,119586,6,497,54.28,17.78,44.63,452,100.0,100.0,100.0,100.0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
27001,1,0,0,2,0,1,2,2297,195.56,11.75,1.15,18.2,9.8,81.19,12.71,0,12.0,0.16,46.29,57.5,11.34,32.72,19.48,78.74,9.94,0,12.0,0.02,37.93,131.8,64.98,472,15835,426.59,27,0,0,1159,119979,7,588,52.39,8.99,47.69,523,72.59,2.59,99.4,99.52,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
48001,2,0,0,6,0,1,2,7618,36.05,211.32,-0.51,19.32,8.52,77.3,11.7,0,3.0,0.16,46.24,70.5,11.32,35.92,20.79,77.29,8.28,0,12.0,0.04,44.96,96.1,34.64,138,46347,1978.46,84,0,0,2853,269369,13,1124,56.71,9.28,51.45,1671,95.57,81.29,99.29,98.86,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
31001,0,0,0,0,0,2,2,84,4.86,17.28,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6,54.38,484,21038,1388.89,1,0,0,1691,164441,10,981,58.7,8.76,53.56,1155,96.0,9.0,100.0,100.0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9001,1,0,0,0,0,2,2,29,35.07,0.83,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8,38.55,846,22478,478.92,1,0,0,1445,138383,8,633,58.94,9.7,53.23,677,8.0,0.0,99.5,93.5,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
26001,1,0,0,0,0,2,2,248,18.22,13.61,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6,29.39,591,21118,842.89,10,0,0,1457,148105,8,703,60.27,10.19,54.13,677,100.0,15.0,100.0,100.0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
20001,1,0,0,1,0,1,2,312,11.18,27.91,-0.49,19.36,9.12,77.52,10.04,0,12.0,0.21,45.86,92.1,12.94,34.91,21.15,79.39,7.24,0,12.0,0.07,47.51,108.1,42.45,368,58735,0,0,0,0,3234,289436,16,1275,53.53,7.53,49.5,1194,100.0,100.0,100.0,100.0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
19001,1,0,0,0,0,0,1,55,36.08,1.52,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0,81.56,1026,20180,328.0,2,0,0,1372,146012,8,691,62.89,11.65,55.57,663,0.0,0.0,100.0,99.0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
