municipio,provincia,municipio_nombre_humano,codigo_INE,lat,lon,feb_avg_min_temp,feb_avg_max_temp,feb_avg_temp,feb_avg_humidity,feb_avg_wind,feb_avg_min_rain,feb_avg_max_rain,feb_avg_rain,feb_avg_clouds,feb_avg_sunshine_hours,jul_avg_min_temp,jul_avg_max_temp,jul_avg_temp,jul_avg_humidity,jul_avg_wind,jul_avg_min_rain,jul_avg_max_rain,jul_avg_rain,jul_avg_clouds,jul_avg_sunshine_hours
Ababuj,Teruel,Ababuj,44001,40.54908,-0.80758,1.89,23.34,11.46,62.96,11.3,0,3.0,0.04,28.33,135.6,17.32,34.63,26.26,62.23,8.71,0,12.0,0.02,15.65,272.0
Abades,Segovia,Abades,40001,40.911905,-4.271385,-3.63,17.89,7.29,71.71,10.87,0,3.0,0.04,28.94,122.1,13.56,38.27,26.79,35.39,9.68,0,3.0,0.02,5.98,347.5
Abadía,Cáceres,Abadía,10001,40.25922,-5.97828,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Abadín,Lugo,Abadín,27001,43.36667,-7.48333,1.15,18.2,9.8,81.19,12.71,0,12.0,0.16,46.29,57.5,11.34,32.72,19.48,78.74,9.94,0,12.0,0.02,37.93,131.8
Abadiño,Bizkaia,Abadiño,48001,43.1511,-2.60942,-0.51,19.32,8.52,77.3,11.7,0,3.0,0.16,46.24,70.5,11.32,35.92,20.79,77.29,8.28,0,12.0,0.04,44.96,96.1
Abáigar,Navarra,Abáigar,31001,42.64823,-2.14182,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6
Abajas,Burgos,Abajas,9001,42.6231,-3.58086,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Ábalos,La Rioja,Ábalos,26001,42.57154,-2.70956,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6
Abaltzisketa,Gipuzkoa,Abaltzisketa,20001,43.034673,-2.105744,-0.49,19.36,9.12,77.52,10.04,0,12.0,0.21,45.86,92.1,12.94,34.91,21.15,79.39,7.24,0,12.0,0.07,47.51,108.1
Abánades,Guadalajara,Abánades,19001,40.89261,-2.48526,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Abanilla,Murcia,Abanilla,30001,38.206794,-1.040845,2.41,23.26,12.49,63.65,11.27,0,3.0,0.02,26.17,135.7,17.76,37.93,26.77,62.42,9.58,0,3.0,0.0,11.66,314.9
Abanto,Zaragoza,Abanto,50001,41.13751,-1.69818,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1
Abanto y Ciérvana-Abanto Zierbena,Bizkaia,Abanto y Ciérvana-Abanto Zierbena,48002,43.309951,-3.08805,-0.51,19.32,8.52,77.3,11.7,0,3.0,0.16,46.24,70.5,11.32,35.92,20.79,77.29,8.28,0,12.0,0.04,44.96,96.1
