municipio,provincia,municipio_nombre_humano,codigo_INE
Ababuj,Teruel,Ababuj,44001
Abades,Segovia,Abades,40001
Abadía,Cáceres,Abadía,10001
Abadín,Lugo,Abadín,27001
Abadiño,Bizkaia,Abadiño,48001
Abáigar,Navarra,Abáigar,31001
Abajas,Burgos,Abajas,9001
Ábalos,La Rioja,Ábalos,26001
Abaltzisketa,Gipuzkoa,Abaltzisketa,20001
Abánades,Guadalajara,Abánades,19001
Abanilla,Murcia,Abanilla,30001
Abanto,Zaragoza,Abanto,50001
Abanto y Ciérvana-Abanto Zierbena,Bizkaia,Abanto y Ciérvana-Abanto Zierbena,48002
Abarán,Murcia,Abarán,30002
Abarca de Campos,Palencia,Abarca de Campos,34001
Abárzuza/Abartzuza,Navarra,Abárzuza/Abartzuza,31002
Abaurregaina/Abaurrea Alta,Navarra,Abaurregaina/Abaurrea Alta,31003
Abaurrepea/Abaurrea Baja,Navarra,Abaurrepea/Abaurrea Baja,31004
Abegondo,A Coruña,Abegondo,15001
Abejar,Soria,Abejar,42001
Abejuela,Teruel,Abejuela,44002
Abella de la Conca,Lleida,Abella de la Conca,25001
Abengibre,Albacete,Abengibre,2001
Abenójar,Ciudad Real,Abenójar,13001
Aberin,Navarra,Aberin,31005
Abertura,Cáceres,Abertura,10002
Abezames,Zamora,Abezames,49002
Abia de la Obispalía,Cuenca,Abia de la Obispalía,16001
Abia de las Torres,Palencia,Abia de las Torres,34003
Abiego,Huesca,Abiego,22001
Abizanda,Huesca,Abizanda,22002
Abla,Almería,Abla,4001
Ablanque,Guadalajara,Ablanque,19002
Ablitas,Navarra,Ablitas,31006
Abrera,Barcelona,Abrera,8001
Abrucena,Almería,Abrucena,4002
Abusejo,Salamanca,Abusejo,37001
Acebeda (La),Madrid,La Acebeda,28001
Acebedo,León,Acebedo,24001
Acebo,Cáceres,Acebo,10003
Acebrón (El),Cuenca,El Acebrón,16002
Acedera,Badajoz,Acedera,6001
Acehúche,Cáceres,Acehúche,10004
Aceituna,Cáceres,Aceituna,10005
Acered,Zaragoza,Acered,50002
Aceuchal,Badajoz,Aceuchal,6002
Adahuesca,Huesca,Adahuesca,22003
Adalia,Valladolid,Adalia,47001
Adamuz,Córdoba,Adamuz,14001
Adanero,Ávila,Adanero,5001
Adeje,Santa Cruz de Tenerife,Adeje,38001
Ademuz,Valencia,Ademuz,46001
Adiós,Navarra,Adiós,31007
Adobes,Guadalajara,Adobes,19003
Ador,Valencia,Ador,46002
Adra,Almería,Adra,4003
Adrada (La),Ávila,La Adrada,5002
Adrada de Haza,Burgos,Adrada de Haza,9003
Adrada de Pirón,Segovia,Adrada de Pirón,40002
Adradas,Soria,Adradas,42003
Adrados,Segovia,Adrados,40003
Aduna,Gipuzkoa,Aduna,20002
Agaete,Las Palmas,Agaete,35001
Agallas,Salamanca,Agallas,37002
Àger,Lleida,Àger,25002
Agolada,Pontevedra,Agolada,36020
Agón,Zaragoza,Agón,50003
Agoncillo,La Rioja,Agoncillo,26002
Agost,Alicante,Agost,3002
Agramunt,Lleida,Agramunt,25003
Ágreda,Soria,Ágreda,42004
Agres,Alicante,Agres,3003
Agrón,Granada,Agrón,18001
Aguadulce,Sevilla,Aguadulce,41001
