municipio,provincia,municipio_nombre_humano,codigo_ine,comunidad_autonoma
Ababuj,Teruel,Ababuj,44001,Aragón
Abades,Segovia,Abades,40001,Castilla y León
Abadía,Cáceres,Abadía,10001,Extremadura
Abadín,Lugo,Abadín,27001,Galicia
Abadiño,Bizkaia,Abadiño,48001,País Vasco
Abáigar,Navarra,Abáigar,31001,Comunidad Foral de Navarra
Abajas,Burgos,Abajas,9001,Castilla y León
Ábalos,La Rioja,Ábalos,26001,La Rioja
Abaltzisketa,Gipuzkoa,Abaltzisketa,20001,País Vasco
Abánades,Guadalajara,Abánades,19001,Castilla-La Mancha
Abanilla,Murcia,Abanilla,30001,Región de Murcia
Abanto,Zaragoza,Abanto,50001,Aragón
Abanto y Ciérvana-Abanto Zierbena,Bizkaia,Abanto y Ciérvana-Abanto Zierbena,48002,País Vasco
Abarán,Murcia,Abarán,30002,Región de Murcia
Abarca de Campos,Palencia,Abarca de Campos,34001,Castilla y León
Abárzuza/Abartzuza,Navarra,Abárzuza/Abartzuza,31002,Comunidad Foral de Navarra
Abaurregaina/Abaurrea Alta,Navarra,Abaurregaina/Abaurrea Alta,31003,Comunidad Foral de Navarra
Abaurrepea/Abaurrea Baja,Navarra,Abaurrepea/Abaurrea Baja,31004,Comunidad Foral de Navarra
Abegondo,A Coruña,Abegondo,15001,Galicia
Abejar,Soria,Abejar,42001,Castilla y León
Abejuela,Teruel,Abejuela,44002,Aragón
Abella de la Conca,Lleida,Abella de la Conca,25001,Cataluña
Abengibre,Albacete,Abengibre,2001,Castilla-La Mancha
Abenójar,Ciudad Real,Abenójar,13001,Castilla-La Mancha
Aberin,Navarra,Aberin,31005,Comunidad Foral de Navarra
Abertura,Cáceres,Abertura,10002,Extremadura
Abezames,Zamora,Abezames,49002,Castilla y León
Abia de la Obispalía,Cuenca,Abia de la Obispalía,16001,Castilla-La Mancha
Abia de las Torres,Palencia,Abia de las Torres,34003,Castilla y León
Abiego,Huesca,Abiego,22001,Aragón
Abizanda,Huesca,Abizanda,22002,Aragón
Abla,Almería,Abla,4001,Andalucía
Ablanque,Guadalajara,Ablanque,19002,Castilla-La Mancha
Ablitas,Navarra,Ablitas,31006,Comunidad Foral de Navarra
Abrera,Barcelona,Abrera,8001,Cataluña
Abrucena,Almería,Abrucena,4002,Andalucía
Abusejo,Salamanca,Abusejo,37001,Castilla y León
Acebeda (La),Madrid,La Acebeda,28001,Comunidad de Madrid
Acebedo,León,Acebedo,24001,Castilla y León
Acebo,Cáceres,Acebo,10003,Extremadura
Acebrón (El),Cuenca,El Acebrón,16002,Castilla-La Mancha
Acedera,Badajoz,Acedera,6001,Extremadura
Acehúche,Cáceres,Acehúche,10004,Extremadura
Aceituna,Cáceres,Aceituna,10005,Extremadura
Acered,Zaragoza,Acered,50002,Aragón
Aceuchal,Badajoz,Aceuchal,6002,Extremadura
Adahuesca,Huesca,Adahuesca,22003,Aragón
Adalia,Valladolid,Adalia,47001,Castilla y León
Adamuz,Córdoba,Adamuz,14001,Andalucía
Adanero,Ávila,Adanero,5001,Castilla y León
Adeje,Santa Cruz de Tenerife,Adeje,38001,Islas Canarias
Ademuz,Valencia,Ademuz,46001,Comunidad Valenciana
Adiós,Navarra,Adiós,31007,Comunidad Foral de Navarra
Adobes,Guadalajara,Adobes,19003,Castilla-La Mancha
Ador,Valencia,Ador,46002,Comunidad Valenciana
Adra,Almería,Adra,4003,Andalucía
Adrada (La),Ávila,La Adrada,5002,Castilla y León
Adrada de Haza,Burgos,Adrada de Haza,9003,Castilla y León
Adrada de Pirón,Segovia,Adrada de Pirón,40002,Castilla y León
Adradas,Soria,Adradas,42003,Castilla y León
Adrados,Segovia,Adrados,40003,Castilla y León
Aduna,Gipuzkoa,Aduna,20002,País Vasco
Agaete,Las Palmas,Agaete,35001,Islas Canarias
Agallas,Salamanca,Agallas,37002,Castilla y León
Àger,Lleida,Àger,25002,Cataluña
Agolada,Pontevedra,Agolada,36020,Galicia
Agón,Zaragoza,Agón,50003,Aragón
Agoncillo,La Rioja,Agoncillo,26002,La Rioja
Agost,Alicante,Agost,3002,Comunidad Valenciana
Agramunt,Lleida,Agramunt,25003,Cataluña
Ágreda,Soria,Ágreda,42004,Castilla y León
Agres,Alicante,Agres,3003,Comunidad Valenciana
Agrón,Granada,Agrón,18001,Andalucía
Aguadulce,Sevilla,Aguadulce,41001,Andalucía
Aguarón,Zaragoza,Aguarón,50004,Aragón
Aguas Cándidas,Burgos,Aguas Cándidas,9006,Castilla y León
Aguasal,Valladolid,Aguasal,47002,Castilla y León
Aguatón,Teruel,Aguatón,44003,Aragón
Aguaviva,Teruel,Aguaviva,44004,Aragón
Agudo,Ciudad Real,Agudo,13002,Castilla-La Mancha
Agüero,Huesca,Agüero,22004,Aragón
Aguilafuente,Segovia,Aguilafuente,40004,Castilla y León
Aguilar de Bureba,Burgos,Aguilar de Bureba,9007,Castilla y León
Aguilar de Campoo,Palencia,Aguilar de Campoo,34004,Castilla y León
Aguilar de Campos,Valladolid,Aguilar de Campos,47003,Castilla y León
Aguilar de Codés,Navarra,Aguilar de Codés,31008,Comunidad Foral de Navarra
Aguilar de la Frontera,Córdoba,Aguilar de la Frontera,14002,Andalucía
Aguilar de Segarra,Barcelona,Aguilar de Segarra,8002,Cataluña
Aguilar del Alfambra,Teruel,Aguilar del Alfambra,44005,Aragón
Aguilar del Río Alhama,La Rioja,Aguilar del Río Alhama,26003,La Rioja
Águilas,Murcia,Águilas,30003,Región de Murcia
Aguilón,Zaragoza,Aguilón,50005,Aragón
Agüimes,Las Palmas,Agüimes,35002,Islas Canarias
Agullana,Girona,Agullana,17001,Cataluña
Agullent,Valencia,Agullent,46004,Comunidad Valenciana
Agulo,Santa Cruz de Tenerife,Agulo,38002,Islas Canarias
Agurain/Salvatierra,Álava,Agurain/Salvatierra,1051,País Vasco
