codigo_ine,municipio,provincia,comunidad_autonoma,municipio_nombre_humano,linea_costa_provincia,linea_montana_provincia
44001,Ababuj,Teruel,Aragón,Ababuj,2,1
40001,Abades,Segovia,Castilla y León,Abades,3,1
10001,Abadía,Cáceres,Extremadura,Abadía,0,3
27001,Abadín,Lugo,Galicia,Abadín,1,2
48001,Abadiño,Bizkaia,País Vasco,Abadiño,1,2
31001,Abáigar,Navarra,Comunidad Foral de Navarra,Abáigar,2,2
9001,Abajas,Burgos,Castilla y León,Abajas,2,2
26001,Ábalos,La Rioja,La Rioja,Ábalos,2,2
20001,Abaltzisketa,Gipuzkoa,País Vasco,Abaltzisketa,1,2
19001,Abánades,Guadalajara,Castilla-La Mancha,Abánades,0,1
30001,Abanilla,Murcia,Región de Murcia,Abanilla,1,2
50001,Abanto,Zaragoza,Aragón,Abanto,2,1
48002,Abanto y Ciérvana-Abanto Zierbena,Bizkaia,País Vasco,Abanto y Ciérvana-Abanto Zierbena,1,2
30002,Abarán,Murcia,Región de Murcia,Abarán,1,2
34001,Abarca de Campos,Palencia,Castilla y León,Abarca de Campos,2,2
31002,Abárzuza/Abartzuza,Navarra,Comunidad Foral de Navarra,Abárzuza/Abartzuza,2,2
31003,Abaurregaina/Abaurrea Alta,Navarra,Comunidad Foral de Navarra,Abaurregaina/Abaurrea Alta,2,2
31004,Abaurrepea/Abaurrea Baja,Navarra,Comunidad Foral de Navarra,Abaurrepea/Abaurrea Baja,2,2
15001,Abegondo,A Coruña,Galicia,Abegondo,1,3
42001,Abejar,Soria,Castilla y León,Abejar,3,1
44002,Abejuela,Teruel,Aragón,Abejuela,2,1
25001,Abella de la Conca,Lleida,Cataluña,Abella de la Conca,2,1
2001,Abengibre,Albacete,Castilla-La Mancha,Abengibre,2,2
13001,Abenójar,Ciudad Real,Castilla-La Mancha,Abenójar,3,2
31005,Aberin,Navarra,Comunidad Foral de Navarra,Aberin,2,2
10002,Abertura,Cáceres,Extremadura,Abertura,0,3
49002,Abezames,Zamora,Castilla y León,Abezames,3,2
16001,Abia de la Obispalía,Cuenca,Castilla-La Mancha,Abia de la Obispalía,2,2
34003,Abia de las Torres,Palencia,Castilla y León,Abia de las Torres,2,2
22001,Abiego,Huesca,Aragón,Abiego,2,1
22002,Abizanda,Huesca,Aragón,Abizanda,2,1
4001,Abla,Almería,Andalucía,Abla,1,2
19002,Ablanque,Guadalajara,Castilla-La Mancha,Ablanque,0,1
31006,Ablitas,Navarra,Comunidad Foral de Navarra,Ablitas,2,2
8001,Abrera,Barcelona,Cataluña,Abrera,1,2
4002,Abrucena,Almería,Andalucía,Abrucena,1,2
37001,Abusejo,Salamanca,Castilla y León,Abusejo,0,2
