municipio,provincia,municipio_nombre_humano,poblacion,superficie,densidad_poblacion
Ababuj,Teruel,Ababuj,76,54.3002,1.39962652071263
Abades,Segovia,Abades,835,31.9800,26.1100687929956
Abadía,Cáceres,Abadía,359,45.0756,7.96439758982687
Abadín,Lugo,Abadín,2297,195.56,11.7457557782778
Abadiño,Bizkaia,Abadiño,7618,36.05,211.317614424411
Abáigar,Navarra,Abáigar,84,4.861,17.2803949804567
Abajas,Burgos,Abajas,29,35.0731,0.826844504762909
Ábalos,La Rioja,Ábalos,248,18.22,13.6114160263447
Abaltzisketa,Gipuzkoa,Abaltzisketa,312,11.179,27.9094731192414
Abánades,Guadalajara,Abánades,55,36.0830,1.52426350358895
Abanilla,Murcia,Abanilla,6116,235.62,25.9570494864613
Abanto,Zaragoza,Abanto,89,63.844,1.39402293089405
Abanto y Ciérvana-Abanto Zierbena,Bizkaia,Abanto y Ciérvana-Abanto Zierbena,9436,16.2,582.469135802469
Abarán,Murcia,Abarán,13066,115.04,113.577885952712
Abarca de Campos,Palencia,Abarca de Campos,45,11.3947,3.94920445470262
Abárzuza/Abartzuza,Navarra,Abárzuza/Abartzuza,538,23.0225,23.3684439135628
Abaurregaina/Abaurrea Alta,Navarra,Abaurregaina/Abaurrea Alta,128,21.3581,5.99304245227806
Abaurrepea/Abaurrea Baja,Navarra,Abaurrepea/Abaurrea Baja,29,10.8893,2.66316475806526
Abegondo,A Coruña,Abegondo,5494,83.8963,65.4856054438634
Abejar,Soria,Abejar,273,23.4308,11.6513307270772
Abejuela,Teruel,Abejuela,57,86.6676,0.657685224928347
Abella de la Conca,Lleida,Abella de la Conca,171,77.89,2.19540377455386
Abengibre,Albacete,Abengibre,748,30.7692,24.3100243100243
Abenójar,Ciudad Real,Abenójar,1339,423.4345,3.16223642617689
Aberin,Navarra,Aberin,346,21.2471,16.2845753067477
Abertura,Cáceres,Abertura,400,62.7076,6.37881213760374
Abezames,Zamora,Abezames,58,23.2638,2.4931438544004
Abia de la Obispalía,Cuenca,Abia de la Obispalía,57,63.05,0.904044409199048
Abia de las Torres,Palencia,Abia de las Torres,167,27.1591,6.14895191666881
Abiego,Huesca,Abiego,271,38.1916,7.09580117093811
Abizanda,Huesca,Abizanda,143,44.8385,3.18922354672882
Abla,Almería,Abla,1258,45.2442,27.8046688857356
Ablanque,Guadalajara,Ablanque,60,51.3960,1.16740602381508
Ablitas,Navarra,Ablitas,2480,77.4754,32.0101606445401
Abrera,Barcelona,Abrera,12620,19.9840,631.505204163331
Abrucena,Almería,Abrucena,1208,83.677,14.4364640223717
Abusejo,Salamanca,Abusejo,166,23.1031,7.18518294081747
Acebeda (La),Madrid,La Acebeda,55,22.056,2.493652520856
Acebedo,León,Acebedo,185,50.1769,3.68695555125964
Acebo,Cáceres,Acebo,560,57.0,9.82456140350877
Acebrón (El),Cuenca,El Acebrón,227,22.12,10.2622061482821
Acedera,Badajoz,Acedera,820,82.33,9.95991740556298
Acehúche,Cáceres,Acehúche,813,91.0646,8.92772822809302
Aceituna,Cáceres,Aceituna,587,40.0761,14.6471338278924
Acered,Zaragoza,Acered,140,30.4041,4.6046421370802
Aceuchal,Badajoz,Aceuchal,5467,63.0794,86.6685478936071
Adahuesca,Huesca,Adahuesca,190,52.4688,3.62119964626597
Adalia,Valladolid,Adalia,52,16.2612,3.19779598061644
Adamuz,Córdoba,Adamuz,4141,334.98,12.3619320556451
Adanero,Ávila,Adanero,196,31.4178,6.23850174105125
Adeje,Santa Cruz de Tenerife,Adeje,48733,105.95,459.962246342614
Ademuz,Valencia,Ademuz,1027,100.31,10.238261389692
Adiós,Navarra,Adiós,167,7.7249,21.6184028272211
Adobes,Guadalajara,Adobes,32,32.6604,0.979779794491188
Ador,Valencia,Ador,1772,13.83,128.127259580622
Adra,Almería,Adra,25501,89.69,284.323781915487
Adrada (La),Ávila,La Adrada,2757,58.64,47.0156889495225
Adrada de Haza,Burgos,Adrada de Haza,197,10.2789,19.1654749049023
Adrada de Pirón,Segovia,Adrada de Pirón,39,10.7201,3.63802576468503
Adradas,Soria,Adradas,55,67.4704,0.815172282956674
Adrados,Segovia,Adrados,125,18.195,6.87001923605386
Aduna,Gipuzkoa,Aduna,482,6.9514,69.3385505078114
Agaete,Las Palmas,Agaete,5695,44.51,127.948775556055
