municipio,provincia,codigo_INE,cobertura_30,cobertura_100,cobertura_3g,cobertura_4g
Ababuj,Teruel,44001,95.0,0.0,99.0,89.0
Abades,Segovia,40001,100.0,100.0,100.0,100.0
Abadía,Cáceres,10001,100.0,100.0,100.0,100.0
Abadín,Lugo,27001,72.59,2.59,99.4,99.52
Abadiño,Bizkaia,48001,95.57,81.29,99.29,98.86
Abáigar,Navarra,31001,96.0,9.0,100.0,100.0
Abajas,Burgos,9001,8.0,0.0,99.5,93.5
Ábalos,La Rioja,26001,100.0,15.0,100.0,100.0
Abaltzisketa,Gipuzkoa,20001,100.0,100.0,100.0,100.0
Abánades,Guadalajara,19001,0.0,0.0,100.0,99.0
Abanilla,Murcia,30001,40.36,13.0,98.59,98.59
Abanto,Zaragoza,50001,95.0,0.0,89.0,30.0
Abanto y Ciérvana-Abanto Zierbena,Bizkaia,48002,89.35,82.76,100.0,100.0
Abarán,Murcia,30002,82.67,21.33,99.78,99.11
Abarca de Campos,Palencia,34001,95.0,0.0,100.0,100.0
Abárzuza/Abartzuza,Navarra,31002,33.33,3.0,100.0,92.0
Abaurregaina/Abaurrea Alta,Navarra,31003,10.0,10.0,100.0,100.0
Abaurrepea/Abaurrea Baja,Navarra,31004,100.0,11.0,100.0,100.0
Abegondo,A Coruña,15001,91.88,7.86,99.98,99.98
Abejar,Soria,42001,84.0,0.0,100.0,100.0
Abejuela,Teruel,44002,47.5,0.0,50.0,4.5
Abella de la Conca,Lleida,25001,0.0,0.0,76.4,71.8
Abengibre,Albacete,2001,100.0,100.0,100.0,100.0
Abenójar,Ciudad Real,13001,33.33,0.0,97.67,75.0
Aberin,Navarra,31005,75.0,50.0,100.0,100.0
Abertura,Cáceres,10002,100.0,100.0,100.0,100.0
Abezames,Zamora,49002,0.0,0.0,100.0,99.0
Abia de la Obispalía,Cuenca,16001,0.0,0.0,100.0,82.0
Abia de las Torres,Palencia,34003,40.0,0.0,96.0,97.0
Abiego,Huesca,22001,97.5,50.0,100.0,88.5
Abizanda,Huesca,22002,77.6,46.6,99.8,83.8
Abla,Almería,4001,80.0,14.0,100.0,100.0
Ablanque,Guadalajara,19002,0.0,0.0,100.0,98.0
Ablitas,Navarra,31006,100.0,79.0,100.0,100.0
Abrera,Barcelona,8001,96.5,96.5,100.0,100.0
Abrucena,Almería,4002,70.0,25.0,95.25,97.5
Abusejo,Salamanca,37001,100.0,0.0,100.0,100.0
Acebeda (La),Madrid,28001,76.0,0.0,100.0,56.0
Acebedo,León,24001,100.0,0.0,100.0,98.33
Acebo,Cáceres,10003,54.0,0.0,97.0,96.0
Acebrón (El),Cuenca,16002,100.0,0.0,100.0,100.0
Acedera,Badajoz,6001,45.0,0.0,100.0,100.0
Acehúche,Cáceres,10004,97.0,0.0,99.0,99.0
Aceituna,Cáceres,10005,28.0,0.0,100.0,100.0
Acered,Zaragoza,50002,95.0,41.0,100.0,100.0
Aceuchal,Badajoz,6002,100.0,100.0,100.0,100.0
Adahuesca,Huesca,22003,100.0,100.0,100.0,100.0
Adalia,Valladolid,47001,0.0,0.0,99.0,99.0
Adamuz,Córdoba,14001,100.0,100.0,100.0,100.0
Adanero,Ávila,5001,44.0,0.0,100.0,100.0
Adeje,Santa Cruz de Tenerife,38001,87.62,60.5,99.75,99.0
Ademuz,Valencia,46001,23.75,0.0,97.25,98.5
Adiós,Navarra,31007,45.5,6.0,99.5,99.5
Adobes,Guadalajara,19003,0.0,0.0,100.0,4.0
Ador,Valencia,46002,83.0,8.0,100.0,100.0
Adra,Almería,4003,43.36,7.68,94.55,89.5
Adrada (La),Ávila,5002,100.0,30.0,100.0,100.0
Adrada de Haza,Burgos,9003,49.0,0.0,100.0,100.0
Adrada de Pirón,Segovia,40002,60.0,0.0,100.0,100.0
Adradas,Soria,42003,0.0,0.0,100.0,100.0
Adrados,Segovia,40003,100.0,0.0,98.0,100.0
Aduna,Gipuzkoa,20002,100.0,100.0,100.0,100.0
Agaete,Las Palmas,35001,61.5,45.75,99.5,95.12
Agallas,Salamanca,37002,0.0,0.0,99.5,57.5
Àger,Lleida,25002,9.67,0.0,97.0,79.44
Agolada,Pontevedra,36020,65.96,0.38,99.81,99.87
Agón,Zaragoza,50003,95.0,0.0,100.0,100.0
Agoncillo,La Rioja,26002,100.0,98.0,100.0,100.0
Agost,Alicante,3002,100.0,71.0,100.0,100.0
Agramunt,Lleida,25003,45.17,36.33,100.0,100.0
Ágreda,Soria,42004,25.0,25.0,100.0,99.75
Agres,Alicante,3003,75.0,75.0,100.0,100.0
Agrón,Granada,18001,95.0,0.0,100.0,100.0
Aguadulce,Sevilla,41001,66.67,66.67,100.0,100.0
Aguarón,Zaragoza,50004,100.0,100.0,100.0,100.0
Aguas Cándidas,Burgos,9006,66.67,0.0,100.0,100.0
Aguasal,Valladolid,47002,0.0,0.0,100.0,100.0
Aguatón,Teruel,44003,95.0,0.0,100.0,41.0
Aguaviva,Teruel,44004,95.0,0.0,100.0,99.0
Agudo,Ciudad Real,13002,100.0,100.0,100.0,100.0
Agüero,Huesca,22004,47.5,0.0,100.0,50.0
Aguilafuente,Segovia,40004,100.0,100.0,100.0,100.0
Aguilar de Bureba,Burgos,9007,64.0,0.0,100.0,100.0
Aguilar de Campoo,Palencia,34004,54.29,3.23,98.61,95.68
Aguilar de Campos,Valladolid,47003,100.0,0.0,100.0,100.0
Aguilar de Codés,Navarra,31008,93.0,0.0,100.0,100.0
Aguilar de la Frontera,Córdoba,14002,94.0,94.0,100.0,100.0
Aguilar de Segarra,Barcelona,8002,65.67,0.0,100.0,97.33
Aguilar del Alfambra,Teruel,44005,95.0,0.0,100.0,99.0
Aguilar del Río Alhama,La Rioja,26003,21.0,0.0,100.0,99.0
Águilas,Murcia,30003,85.94,16.62,96.88,94.97
Aguilón,Zaragoza,50005,0.0,0.0,100.0,99.0
Agüimes,Las Palmas,35002,80.15,59.62,100.0,99.92
Agullana,Girona,17001,93.0,0.0,100.0,99.5
Agullent,Valencia,46004,84.0,84.0,100.0,100.0
Agulo,Santa Cruz de Tenerife,38002,19.36,19.36,97.64,94.27
Agurain/Salvatierra,Álava,1051,71.2,39.4,100.0,100.0
Ahigal,Cáceres,10006,100.0,100.0,100.0,100.0
Ahigal de los Aceiteros,Salamanca,37003,100.0,0.0,100.0,100.0
Ahigal de Villarino,Salamanca,37004,0.0,0.0,100.0,12.0
Ahillones,Badajoz,6003,100.0,0.0,100.0,100.0
Aia,Gipuzkoa,20016,75.5,63.0,98.57,96.07
Aibar/Oibar,Navarra,31009,100.0,0.0,100.0,100.0
Aielo de Malferit,Valencia,46042,96.0,96.0,100.0,100.0
Aielo de Rugat,Valencia,46043,29.0,0.0,100.0,100.0
Aiguafreda,Barcelona,8014,97.0,89.0,100.0,100.0
Aiguamúrcia,Tarragona,43001,63.44,51.67,99.44,98.56
Aiguaviva,Girona,17002,94.62,65.75,100.0,100.0
Aigües,Alicante,3004,100.0,100.0,100.0,99.0
Aín,Castellón,12002,100.0,100.0,100.0,99.0
Aínsa-Sobrarbe,Huesca,22907,82.78,41.43,98.74,87.61
Ainzón,Zaragoza,50006,100.0,100.0,100.0,100.0
Aisa,Huesca,22006,56.75,46.5,99.5,99.25
Aitona,Lleida,25038,33.33,33.33,99.33,93.33
Aizarnazabal,Gipuzkoa,20003,78.83,58.83,99.83,99.83
Ajalvir,Madrid,28002,98.0,98.0,100.0,100.0
