municipio,provincia,municipio_nombre_humano
Agurain/Salvatierra,Álava,Agurain/Salvatierra
Alegría-Dulantzi,Álava,Alegría-Dulantzi
Amurrio,Álava,Amurrio
Añana,Álava,Añana
Aramaio,Álava,Aramaio
Armiñón,Álava,Armiñón
Arraia-Maeztu,Álava,Arraia-Maeztu
Arratzua-Ubarrundia,Álava,Arratzua-Ubarrundia
Artziniega,Álava,Artziniega
Asparrena,Álava,Asparrena
Ayala/Aiara,Álava,Ayala/Aiara
Baños de Ebro/Mañueta,Álava,Baños de Ebro/Mañueta
Barrundia,Álava,Barrundia
Berantevilla,Álava,Berantevilla
Bernedo,Álava,Bernedo
Campezo/Kanpezu,Álava,Campezo/Kanpezu
Elburgo/Burgelu,Álava,Elburgo/Burgelu
Elciego,Álava,Elciego
Elvillar/Bilar,Álava,Elvillar/Bilar
Erriberabeitia,Álava,Erriberabeitia
Erriberagoitia/Ribera Alta,Álava,Erriberagoitia/Ribera Alta
Harana/Valle de Arana,Álava,Harana/Valle de Arana
Iruña Oka/Iruña de Oca,Álava,Iruña Oka/Iruña de Oca
Iruraiz-Gauna,Álava,Iruraiz-Gauna
Kripan,Álava,Kripan
Kuartango,Álava,Kuartango
Labastida/Bastida,Álava,Labastida/Bastida
Lagrán,Álava,Lagrán
Laguardia,Álava,Laguardia
Lanciego/Lantziego,Álava,Lanciego/Lantziego
Lantarón,Álava,Lantarón
Lapuebla de Labarca,Álava,Lapuebla de Labarca
Laudio/Llodio,Álava,Laudio/Llodio
Legutio,Álava,Legutio
Leza,Álava,Leza
Moreda de Álava/Moreda Araba,Álava,Moreda de Álava/Moreda Araba
Navaridas,Álava,Navaridas
Okondo,Álava,Okondo
Oyón-Oion,Álava,Oyón-Oion
Peñacerrada-Urizaharra,Álava,Peñacerrada-Urizaharra
Samaniego,Álava,Samaniego
San Millán/Donemiliaga,Álava,San Millán/Donemiliaga
Urkabustaiz,Álava,Urkabustaiz
Valdegovía/Gaubea,Álava,Valdegovía/Gaubea
Villabuena de Álava/Eskuernaga,Álava,Villabuena de Álava/Eskuernaga
Vitoria-Gasteiz,Álava,Vitoria-Gasteiz
Yécora/Iekora,Álava,Yécora/Iekora
Zalduondo,Álava,Zalduondo
Zambrana,Álava,Zambrana
Zigoitia,Álava,Zigoitia
Zuia,Álava,Zuia
Abengibre,Albacete,Abengibre
Alatoz,Albacete,Alatoz
Albacete,Albacete,Albacete
Albatana,Albacete,Albatana
Alborea,Albacete,Alborea
Alcadozo,Albacete,Alcadozo
Alcalá del Júcar,Albacete,Alcalá del Júcar
Alcaraz,Albacete,Alcaraz
Almansa,Albacete,Almansa
Alpera,Albacete,Alpera
Ayna,Albacete,Ayna
Balazote,Albacete,Balazote
Ballestero (El),Albacete,El Ballestero
Balsa de Ves,Albacete,Balsa de Ves
Barrax,Albacete,Barrax
Bienservida,Albacete,Bienservida
Bogarra,Albacete,Bogarra
Bonete,Albacete,Bonete
Bonillo (El),Albacete,El Bonillo
Carcelén,Albacete,Carcelén
Casas de Juan Núñez,Albacete,Casas de Juan Núñez
Casas de Lázaro,Albacete,Casas de Lázaro
Casas de Ves,Albacete,Casas de Ves
Casas-Ibáñez,Albacete,Casas-Ibáñez
Caudete,Albacete,Caudete
Cenizate,Albacete,Cenizate
Chinchilla de Monte-Aragón,Albacete,Chinchilla de Monte-Aragón
Corral-Rubio,Albacete,Corral-Rubio
Cotillas,Albacete,Cotillas
Elche de la Sierra,Albacete,Elche de la Sierra
Férez,Albacete,Férez
Fuensanta,Albacete,Fuensanta
Fuente-Álamo,Albacete,Fuente-Álamo
Fuentealbilla,Albacete,Fuentealbilla
Gineta (La),Albacete,La Gineta
Golosalvo,Albacete,Golosalvo
Hellín,Albacete,Hellín
Herrera (La),Albacete,La Herrera
Higueruela,Albacete,Higueruela
Hoya-Gonzalo,Albacete,Hoya-Gonzalo
Jorquera,Albacete,Jorquera
Letur,Albacete,Letur
Lezuza,Albacete,Lezuza
Liétor,Albacete,Liétor
Madrigueras,Albacete,Madrigueras
Mahora,Albacete,Mahora
Masegoso,Albacete,Masegoso
Minaya,Albacete,Minaya
Molinicos,Albacete,Molinicos
Montalvos,Albacete,Montalvos
Montealegre del Castillo,Albacete,Montealegre del Castillo
Motilleja,Albacete,Motilleja
Munera,Albacete,Munera
Navas de Jorquera,Albacete,Navas de Jorquera
Nerpio,Albacete,Nerpio
Ontur,Albacete,Ontur
Ossa de Montiel,Albacete,Ossa de Montiel
Paterna del Madera,Albacete,Paterna del Madera
Peñas de San Pedro,Albacete,Peñas de San Pedro
Peñascosa,Albacete,Peñascosa
Pétrola,Albacete,Pétrola
Povedilla,Albacete,Povedilla
Pozo Cañada,Albacete,Pozo Cañada
Pozohondo,Albacete,Pozohondo
Pozo-Lorente,Albacete,Pozo-Lorente
Pozuelo,Albacete,Pozuelo
Recueja (La),Albacete,La Recueja
Riópar,Albacete,Riópar
Robledo,Albacete,Robledo
Roda (La),Albacete,La Roda
