municipio,provincia,municipio_nombre_humano,tasa_actividad_provincia,tasa_paro_provincia,tasa_empleo_provincia,num_empleos_provincia
Agurain/Salvatierra,Álava,Agurain/Salvatierra,57.62,9.42,52.19,777
Alegría-Dulantzi,Álava,Alegría-Dulantzi,57.62,9.42,52.19,777
Amurrio,Álava,Amurrio,57.62,9.42,52.19,777
Añana,Álava,Añana,57.62,9.42,52.19,777
Aramaio,Álava,Aramaio,57.62,9.42,52.19,777
Armiñón,Álava,Armiñón,57.62,9.42,52.19,777
Arraia-Maeztu,Álava,Arraia-Maeztu,57.62,9.42,52.19,777
Arratzua-Ubarrundia,Álava,Arratzua-Ubarrundia,57.62,9.42,52.19,777
Artziniega,Álava,Artziniega,57.62,9.42,52.19,777
Asparrena,Álava,Asparrena,57.62,9.42,52.19,777
Ayala/Aiara,Álava,Ayala/Aiara,57.62,9.42,52.19,777
Baños de Ebro/Mañueta,Álava,Baños de Ebro/Mañueta,57.62,9.42,52.19,777
Barrundia,Álava,Barrundia,57.62,9.42,52.19,777
Berantevilla,Álava,Berantevilla,57.62,9.42,52.19,777
Bernedo,Álava,Bernedo,57.62,9.42,52.19,777
Campezo/Kanpezu,Álava,Campezo/Kanpezu,57.62,9.42,52.19,777
Elburgo/Burgelu,Álava,Elburgo/Burgelu,57.62,9.42,52.19,777
Elciego,Álava,Elciego,57.62,9.42,52.19,777
Elvillar/Bilar,Álava,Elvillar/Bilar,57.62,9.42,52.19,777
Erriberabeitia,Álava,Erriberabeitia,57.62,9.42,52.19,777
Erriberagoitia/Ribera Alta,Álava,Erriberagoitia/Ribera Alta,57.62,9.42,52.19,777
Harana/Valle de Arana,Álava,Harana/Valle de Arana,57.62,9.42,52.19,777
Iruña Oka/Iruña de Oca,Álava,Iruña Oka/Iruña de Oca,57.62,9.42,52.19,777
Iruraiz-Gauna,Álava,Iruraiz-Gauna,57.62,9.42,52.19,777
Kripan,Álava,Kripan,57.62,9.42,52.19,777
Kuartango,Álava,Kuartango,57.62,9.42,52.19,777
Labastida/Bastida,Álava,Labastida/Bastida,57.62,9.42,52.19,777
Lagrán,Álava,Lagrán,57.62,9.42,52.19,777
Laguardia,Álava,Laguardia,57.62,9.42,52.19,777
Lanciego/Lantziego,Álava,Lanciego/Lantziego,57.62,9.42,52.19,777
Lantarón,Álava,Lantarón,57.62,9.42,52.19,777
Lapuebla de Labarca,Álava,Lapuebla de Labarca,57.62,9.42,52.19,777
Laudio/Llodio,Álava,Laudio/Llodio,57.62,9.42,52.19,777
Legutio,Álava,Legutio,57.62,9.42,52.19,777
Leza,Álava,Leza,57.62,9.42,52.19,777
Moreda de Álava/Moreda Araba,Álava,Moreda de Álava/Moreda Araba,57.62,9.42,52.19,777
Navaridas,Álava,Navaridas,57.62,9.42,52.19,777
Okondo,Álava,Okondo,57.62,9.42,52.19,777
Oyón-Oion,Álava,Oyón-Oion,57.62,9.42,52.19,777
Peñacerrada-Urizaharra,Álava,Peñacerrada-Urizaharra,57.62,9.42,52.19,777
Samaniego,Álava,Samaniego,57.62,9.42,52.19,777
San Millán/Donemiliaga,Álava,San Millán/Donemiliaga,57.62,9.42,52.19,777
Urkabustaiz,Álava,Urkabustaiz,57.62,9.42,52.19,777
Valdegovía/Gaubea,Álava,Valdegovía/Gaubea,57.62,9.42,52.19,777
Villabuena de Álava/Eskuernaga,Álava,Villabuena de Álava/Eskuernaga,57.62,9.42,52.19,777
Vitoria-Gasteiz,Álava,Vitoria-Gasteiz,57.62,9.42,52.19,777
Yécora/Iekora,Álava,Yécora/Iekora,57.62,9.42,52.19,777
Zalduondo,Álava,Zalduondo,57.62,9.42,52.19,777
Zambrana,Álava,Zambrana,57.62,9.42,52.19,777
Zigoitia,Álava,Zigoitia,57.62,9.42,52.19,777
Zuia,Álava,Zuia,57.62,9.42,52.19,777
Abengibre,Albacete,Abengibre,58.07,12.41,50.86,532
