municipio,provincia,municipio_nombre_humano,lat,lon,kms_capital_provincia
Agurain/Salvatierra,Álava,Agurain/Salvatierra,42.847308,-2.392287,29.925819
Alegría-Dulantzi,Álava,Alegría-Dulantzi,42.841339,-2.51244,15.245745
Amurrio,Álava,Amurrio,43.052099,-3.001084,40.120036999999996
Añana,Álava,Añana,42.80199,-2.98636,34.224366
Aramaio,Álava,Aramaio,43.039,-2.60173,28.003846000000003
Armiñón,Álava,Armiñón,42.72313,-2.87172,29.055999
Arraia-Maeztu,Álava,Arraia-Maeztu,42.74284,-2.44683,25.551118
Arratzua-Ubarrundia,Álava,Arratzua-Ubarrundia,42.889187,-2.639355,5.852825
Artziniega,Álava,Artziniega,43.120812,-3.127981,54.539106
Asparrena,Álava,Asparrena,42.889667,-2.316775,36.936415999999994
Ayala/Aiara,Álava,Ayala/Aiara,43.069205,-3.024081,44.226995
Baños de Ebro/Mañueta,Álava,Baños de Ebro/Mañueta,42.52997,-2.67924,66.54245
Barrundia,Álava,Barrundia,42.91377,-2.5071,19.441073
Berantevilla,Álava,Berantevilla,42.68254,-2.85832,37.30453
Bernedo,Álava,Bernedo,42.62663,-2.49784,40.059795
Campezo/Kanpezu,Álava,Campezo/Kanpezu,42.69412,-2.36442,41.133918
Elburgo/Burgelu,Álava,Elburgo/Burgelu,42.84972,-2.54513,11.403306999999998
Elciego,Álava,Elciego,42.515216,-2.619526,47.591479
Elvillar/Bilar,Álava,Elvillar/Bilar,42.56994,-2.54502,50.93513
Erriberabeitia,Álava,Erriberabeitia,42.910532,-2.754306,11.016056
Erriberagoitia/Ribera Alta,Álava,Erriberagoitia/Ribera Alta,42.910532,-2.754306,11.016056
Harana/Valle de Arana,Álava,Harana/Valle de Arana,42.910532,-2.754306,11.016056
Iruña Oka/Iruña de Oca,Álava,Iruña Oka/Iruña de Oca,42.82931,-2.81194,12.930897000000002
Iruraiz-Gauna,Álava,Iruraiz-Gauna,42.82001,-2.49002,17.866819
Kripan,Álava,Kripan,42.59113,-2.51656,51.496974
Kuartango,Álava,Kuartango,42.895743,-2.933869,36.678466
Labastida/Bastida,Álava,Labastida/Bastida,42.588749,-2.796281,48.241712
Lagrán,Álava,Lagrán,42.62625,-2.58385,37.484655
Laguardia,Álava,Laguardia,42.553699,-2.584773,45.626647
Lanciego/Lantziego,Álava,Lanciego/Lantziego,42.56248,-2.51343,54.514898
Lantarón,Álava,Lantarón,42.728169,-3.004472,43.826629999999994
Lapuebla de Labarca,Álava,Lapuebla de Labarca,42.49454,-2.5734,84.72726399999999
Laudio/Llodio,Álava,Laudio/Llodio,43.142083,-2.959191,48.420661
Legutio,Álava,Legutio,42.979847,-2.642626,15.684183
Leza,Álava,Leza,42.56552,-2.63324,41.458468
Moreda de Álava/Moreda Araba,Álava,Moreda de Álava/Moreda Araba,42.52571,-2.40828,58.613799
Navaridas,Álava,Navaridas,42.54566,-2.6265,44.091741
Okondo,Álava,Okondo,43.179363,-3.00113,55.178411
Oyón-Oion,Álava,Oyón-Oion,42.505159,-2.435766,61.665629
Peñacerrada-Urizaharra,Álava,Peñacerrada-Urizaharra,42.64356,-2.70796,26.893748
Samaniego,Álava,Samaniego,42.56854,-2.67974,42.811084
San Millán/Donemiliaga,Álava,San Millán/Donemiliaga,42.92552,-2.42733,26.833096
Urkabustaiz,Álava,Urkabustaiz,42.972748,-2.920274,27.679906
Valdegovía/Gaubea,Álava,Valdegovía/Gaubea,42.84777,-3.09883,46.483239999999995
Villabuena de Álava/Eskuernaga,Álava,Villabuena de Álava/Eskuernaga,42.54788,-2.66552,46.095922
Vitoria-Gasteiz,Álava,Vitoria-Gasteiz,42.854747,-2.676179,0.0
Yécora/Iekora,Álava,Yécora/Iekora,42.5681,-2.47038,51.634980000000006
Zalduondo,Álava,Zalduondo,42.884831,-2.349995,38.610561000000004
Zambrana,Álava,Zambrana,42.66102,-2.87909,36.020223
Zigoitia,Álava,Zigoitia,42.97258,-2.72226,15.164954
Zuia,Álava,Zuia,42.98404,-2.830075,25.830468
Abengibre,Albacete,Abengibre,39.209727,-1.541551,46.266957000000005
Alatoz,Albacete,Alatoz,39.09495,-1.36098,48.142014
Albacete,Albacete,Albacete,38.995097,-1.86197,0.0
Albatana,Albacete,Albatana,38.571977,-1.522897,76.807122
Alborea,Albacete,Alborea,39.278861,-1.394938,59.567752
Alcadozo,Albacete,Alcadozo,38.648845,-1.979948,44.195269
Alcalá del Júcar,Albacete,Alcalá del Júcar,39.2,-1.43333,63.289371
