municipio,provincia,municipio_nombre_humano,lat,lon,sitios_comercio,sitios_turismo,sitios_alojamiento,sitios_ocio,sitios_natural,sitios_servicio,sitios_actividad,sitios_entretenimiento,sitios_catering,sitios_sport,sitios_edificio,sitios_acceso_limitado,sitios_artificial,sitios_acceso,sitios_sin_acceso,sitios_patrimonio,sitios_carretera,sitios_cuota,sitios_comodidad
Agurain/Salvatierra,Álava,Agurain/Salvatierra,42.847308,-2.392287,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Alegría-Dulantzi,Álava,Alegría-Dulantzi,42.841339,-2.51244,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Amurrio,Álava,Amurrio,43.052099,-3.001084,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Añana,Álava,Añana,42.80199,-2.98636,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Aramaio,Álava,Aramaio,43.039,-2.60173,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armiñón,Álava,Armiñón,42.72313,-2.87172,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Arraia-Maeztu,Álava,Arraia-Maeztu,42.74284,-2.44683,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arratzua-Ubarrundia,Álava,Arratzua-Ubarrundia,42.889187,-2.639355,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0
Artziniega,Álava,Artziniega,43.120812,-3.127981,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0
Asparrena,Álava,Asparrena,42.889667,-2.316775,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Ayala/Aiara,Álava,Ayala/Aiara,43.069205,-3.024081,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Baños de Ebro/Mañueta,Álava,Baños de Ebro/Mañueta,42.52997,-2.67924,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Barrundia,Álava,Barrundia,42.91377,-2.5071,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Berantevilla,Álava,Berantevilla,42.68254,-2.85832,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0
Bernedo,Álava,Bernedo,42.62663,-2.49784,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Campezo/Kanpezu,Álava,Campezo/Kanpezu,42.69412,-2.36442,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0
Elburgo/Burgelu,Álava,Elburgo/Burgelu,42.84972,-2.54513,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0
Elciego,Álava,Elciego,42.515216,-2.619526,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
Elvillar/Bilar,Álava,Elvillar/Bilar,42.56994,-2.54502,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erriberabeitia,Álava,Erriberabeitia,42.910532,-2.754306,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erriberagoitia/Ribera Alta,Álava,Erriberagoitia/Ribera Alta,42.910532,-2.754306,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harana/Valle de Arana,Álava,Harana/Valle de Arana,42.910532,-2.754306,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iruña Oka/Iruña de Oca,Álava,Iruña Oka/Iruña de Oca,42.82931,-2.81194,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Iruraiz-Gauna,Álava,Iruraiz-Gauna,42.82001,-2.49002,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Kripan,Álava,Kripan,42.59113,-2.51656,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuartango,Álava,Kuartango,42.895743,-2.933869,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labastida/Bastida,Álava,Labastida/Bastida,42.588749,-2.796281,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Lagrán,Álava,Lagrán,42.62625,-2.58385,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Laguardia,Álava,Laguardia,42.553699,-2.584773,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Lanciego/Lantziego,Álava,Lanciego/Lantziego,42.56248,-2.51343,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
