municipio,provincia,municipio_nombre_humano,precio_m2_venta,num_casas_venta,precio_m2_alquiler,num_casas_alquiler,precio_m2_venta_provincia,precio_medio_venta_provincia,precio_m2_alquiler_provincia,precio_medio_alquiler_provincia
Ababuj,Teruel,Ababuj,-,-,-,0,1068.0,103002,6.0,501
Abades,Segovia,Abades,-,-,-,0,1329.0,133270,9.0,790
Abadía,Cáceres,Abadía,250.0,1,-,0,1132.0,119586,6.0,497
Abadín,Lugo,Abadín,426.59,27,-,0,1159.0,119979,7.0,588
Abadiño,Bizkaia,Abadiño,1978.46,84,-,0,2853.0,269369,13.0,1124
Abáigar,Navarra,Abáigar,1388.89,1,-,0,1691.0,164441,10.0,981
Abajas,Burgos,Abajas,478.92,1,-,0,1445.0,138383,8.0,633
Ábalos,La Rioja,Ábalos,842.89,10,-,0,1457.0,148105,8.0,703
Abaltzisketa,Gipuzkoa,Abaltzisketa,-,-,-,0,3234.0,289436,16.0,1275
Abánades,Guadalajara,Abánades,328.0,2,-,0,1372.0,146012,8.0,691
Abanilla,Murcia,Abanilla,983.06,130,4.66,2,1148.0,119550,9.0,792
Abanto,Zaragoza,Abanto,-,-,-,0,1674.0,154117,9.0,720
Abanto y Ciérvana-Abanto Zierbena,Bizkaia,Abanto y Ciérvana-Abanto Zierbena,1917.08,52,-,0,2853.0,269369,13.0,1124
Abarán,Murcia,Abarán,675.93,106,-,0,1148.0,119550,9.0,792
Abarca de Campos,Palencia,Abarca de Campos,-,-,-,0,1352.0,128845,7.0,499
Abárzuza/Abartzuza,Navarra,Abárzuza/Abartzuza,-,-,-,0,1691.0,164441,10.0,981
Abaurregaina/Abaurrea Alta,Navarra,Abaurregaina/Abaurrea Alta,-,-,-,0,1691.0,164441,10.0,981
Abaurrepea/Abaurrea Baja,Navarra,Abaurrepea/Abaurrea Baja,-,-,-,0,1691.0,164441,10.0,981
Abegondo,A Coruña,Abegondo,843.32,83,4.97,2,1583.0,156959,8.0,666
Abejar,Soria,Abejar,-,-,-,0,1288.0,129163,7.0,604
Abejuela,Teruel,Abejuela,-,-,-,0,1068.0,103002,6.0,501
Abella de la Conca,Lleida,Abella de la Conca,895.95,1,-,0,1159.0,114344,7.0,654
Abengibre,Albacete,Abengibre,789.76,13,-,0,1300.0,152281,7.0,659
Abenójar,Ciudad Real,Abenójar,436.2,10,-,0,936.0,96893,5.0,461
Aberin,Navarra,Aberin,581.35,17,-,0,1691.0,164441,10.0,981
Abertura,Cáceres,Abertura,727.27,1,-,0,1132.0,119586,6.0,497
Abezames,Zamora,Abezames,-,-,-,0,1151.0,118790,5.0,497
Abia de la Obispalía,Cuenca,Abia de la Obispalía,0,0,-,0,1139.0,119313,8.0,608
Abia de las Torres,Palencia,Abia de las Torres,220.9,4,-,0,1352.0,128845,7.0,499
Abiego,Huesca,Abiego,480.86,9,-,0,1513.0,123979,8.0,636
Abizanda,Huesca,Abizanda,291.67,2,-,0,1513.0,123979,8.0,636
Abla,Almería,Abla,692.91,39,3.64,1,1168.0,109377,8.0,668
Ablanque,Guadalajara,Ablanque,0,0,-,0,1372.0,146012,8.0,691
Ablitas,Navarra,Ablitas,510.49,11,-,0,1691.0,164441,10.0,981
Abrera,Barcelona,Abrera,1977.19,86,8.12,1,2946.0,272259,16.0,1367
Abrucena,Almería,Abrucena,613.33,62,-,0,1168.0,109377,8.0,668
Abusejo,Salamanca,Abusejo,350.44,6,-,0,1673.0,156058,9.0,801
Acebeda (La),Madrid,La Acebeda,882.81,3,-,0,3314.0,343514,16.0,1414
Acebedo,León,Acebedo,615.36,4,4.0,1,1237.0,130467,6.0,586
Acebo,Cáceres,Acebo,478.1,12,-,0,1132.0,119586,6.0,497
Acebrón (El),Cuenca,El Acebrón,372.39,10,-,0,1139.0,119313,8.0,608
Acedera,Badajoz,Acedera,714.29,1,-,0,1149.0,126096,7.0,530
Acehúche,Cáceres,Acehúche,296.8,5,-,0,1132.0,119586,6.0,497
Aceituna,Cáceres,Aceituna,0,0,-,0,1132.0,119586,6.0,497
Acered,Zaragoza,Acered,149.53,5,-,0,1674.0,154117,9.0,720
Aceuchal,Badajoz,Aceuchal,512.38,18,3.5,1,1149.0,126096,7.0,530
Adahuesca,Huesca,Adahuesca,1348.48,4,-,0,1513.0,123979,8.0,636
Adalia,Valladolid,Adalia,-,-,-,0,1497.0,151208,8.0,668
Adamuz,Córdoba,Adamuz,771.76,18,-,0,1405.0,141657,7.0,645
Adanero,Ávila,Adanero,611.61,6,-,0,1022.0,99417,6.0,520
Adeje,Santa Cruz de Tenerife,Adeje,3350.08,1782,16.15,80,1906.0,174893,10.0,793
Ademuz,Valencia,Ademuz,-,-,-,0,1445.0,163450,11.0,1042
Adiós,Navarra,Adiós,0,0,-,0,1691.0,164441,10.0,981
Adobes,Guadalajara,Adobes,0,0,-,0,1372.0,146012,8.0,691
Ador,Valencia,Ador,774.5,60,-,0,1445.0,163450,11.0,1042
Adra,Almería,Adra,921.28,209,6.8,44,1168.0,109377,8.0,668
Adrada (La),Ávila,La Adrada,800.95,112,4.53,10,1022.0,99417,6.0,520
Adrada de Haza,Burgos,Adrada de Haza,830.0,2,-,0,1445.0,138383,8.0,633
Adrada de Pirón,Segovia,Adrada de Pirón,1709.4,4,-,0,1329.0,133270,9.0,790
Adradas,Soria,Adradas,-,-,-,0,1288.0,129163,7.0,604
Adrados,Segovia,Adrados,-,-,-,0,1329.0,133270,9.0,790
Aduna,Gipuzkoa,Aduna,-,-,-,0,3234.0,289436,16.0,1275
Agaete,Las Palmas,Agaete,1890.77,39,11.22,9,1743.0,159907,11.0,830
Agallas,Salamanca,Agallas,601.75,2,-,0,1673.0,156058,9.0,801
Àger,Lleida,Àger,1271.52,14,-,0,1159.0,114344,7.0,654
Agolada,Pontevedra,Agolada,494.15,24,-,0,1893.0,193302,9.0,818
Agón,Zaragoza,Agón,-,-,-,0,1674.0,154117,9.0,720
Agoncillo,La Rioja,Agoncillo,763.07,56,-,0,1457.0,148105,8.0,703
Agost,Alicante,Agost,926.19,90,2.59,1,1663.0,176931,9.0,845
Agramunt,Lleida,Agramunt,515.0,40,5.19,1,1159.0,114344,7.0,654
Ágreda,Soria,Ágreda,-,-,6.25,1,1288.0,129163,7.0,604
Agres,Alicante,Agres,446.2,19,6.0,1,1663.0,176931,9.0,845
Agrón,Granada,Agrón,409.35,6,-,0,1691.0,181669,8.0,760
Aguadulce,Sevilla,Aguadulce,1325.14,541,-,0,1611.0,162042,10.0,821
Aguarón,Zaragoza,Aguarón,-,-,-,0,1674.0,154117,9.0,720
Aguas Cándidas,Burgos,Aguas Cándidas,356.75,5,-,0,1445.0,138383,8.0,633
Aguasal,Valladolid,Aguasal,-,-,-,0,1497.0,151208,8.0,668
Aguatón,Teruel,Aguatón,-,0,-,0,1068.0,103002,6.0,501
Aguaviva,Teruel,Aguaviva,-,-,-,0,1068.0,103002,6.0,501
Agudo,Ciudad Real,Agudo,328.27,8,3.16,4,936.0,96893,5.0,461
Agüero,Huesca,Agüero,-,-,-,0,1513.0,123979,8.0,636
Aguilafuente,Segovia,Aguilafuente,-,-,3.2,1,1329.0,133270,9.0,790
Aguilar de Bureba,Burgos,Aguilar de Bureba,0,0,-,0,1445.0,138383,8.0,633
Aguilar de Campoo,Palencia,Aguilar de Campoo,728.26,114,4.33,2,1352.0,128845,7.0,499
Aguilar de Campos,Valladolid,Aguilar de Campos,-,-,-,0,1497.0,151208,8.0,668
Aguilar de Codés,Navarra,Aguilar de Codés,441.05,6,-,0,1691.0,164441,10.0,981
Aguilar de la Frontera,Córdoba,Aguilar de la Frontera,632.32,97,2.97,4,1405.0,141657,7.0,645
Aguilar de Segarra,Barcelona,Aguilar de Segarra,1661.06,5,-,0,2946.0,272259,16.0,1367
Aguilar del Alfambra,Teruel,Aguilar del Alfambra,-,-,4.41,1,1068.0,103002,6.0,501
Aguilar del Río Alhama,La Rioja,Aguilar del Río Alhama,543.08,15,2.23,1,1457.0,148105,8.0,703
Águilas,Murcia,Águilas,1183.56,1204,9.47,118,1148.0,119550,9.0,792
Aguilón,Zaragoza,Aguilón,-,-,-,0,1674.0,154117,9.0,720
Agüimes,Las Palmas,Agüimes,1169.93,146,9.23,34,1743.0,159907,11.0,830
Agullana,Girona,Agullana,1347.95,13,4.5,1,2169.0,193575,11.0,941
Agullent,Valencia,Agullent,872.5,71,3.07,1,1445.0,163450,11.0,1042
Agulo,Santa Cruz de Tenerife,Agulo,-,-,5.88,1,1906.0,174893,10.0,793
Agurain/Salvatierra,Álava,Agurain/Salvatierra,1397.02,38,-,0,2564.0,242404,12.0,986
Ahigal,Cáceres,Ahigal,630.27,9,3.33,1,1132.0,119586,6.0,497
Ahigal de los Aceiteros,Salamanca,Ahigal de los Aceiteros,0,0,-,0,1673.0,156058,9.0,801
Ahigal de Villarino,Salamanca,Ahigal de Villarino,0,0,-,0,1673.0,156058,9.0,801
Ahillones,Badajoz,Ahillones,321.86,4,-,0,1149.0,126096,7.0,530
Aia,Gipuzkoa,Aia,793.94,17,-,0,3234.0,289436,16.0,1275
Aibar/Oibar,Navarra,Aibar/Oibar,-,-,-,0,1691.0,164441,10.0,981
Aielo de Malferit,Valencia,Aielo de Malferit,801.72,46,2.71,1,1445.0,163450,11.0,1042
Aielo de Rugat,Valencia,Aielo de Rugat,-,-,-,0,1445.0,163450,11.0,1042
Aiguafreda,Barcelona,Aiguafreda,1732.68,34,-,0,2946.0,272259,16.0,1367
Aiguamúrcia,Tarragona,Aiguamúrcia,1085.63,39,12.27,2,1552.0,140182,9.0,736
Aiguaviva,Girona,Aiguaviva,1967.81,10,-,0,2169.0,193575,11.0,941
Aigües,Alicante,Aigües,1401.71,53,6.16,8,1663.0,176931,9.0,845
Aín,Castellón,Aín,567.69,3,-,0,1133.0,115966,8.0,653
Aínsa-Sobrarbe,Huesca,Aínsa-Sobrarbe,1423.58,71,7.75,1,1513.0,123979,8.0,636
Ainzón,Zaragoza,Ainzón,-,-,5.67,1,1674.0,154117,9.0,720
Aisa,Huesca,Aisa,2336.65,40,7.68,2,1513.0,123979,8.0,636
Aitona,Lleida,Aitona,832.4,8,-,0,1159.0,114344,7.0,654
Aizarnazabal,Gipuzkoa,Aizarnazabal,-,-,-,0,3234.0,289436,16.0,1275
Ajalvir,Madrid,Ajalvir,2252.61,64,9.98,7,3314.0,343514,16.0,1414
Ajamil de Cameros,La Rioja,Ajamil de Cameros,-,-,-,0,1457.0,148105,8.0,703
Ajangiz,Bizkaia,Ajangiz,-,-,-,0,2853.0,269369,13.0,1124
Ajofrín,Toledo,Ajofrín,-,-,-,0,1023.0,103420,7.0,582
Alacón,Teruel,Alacón,-,-,-,0,1068.0,103002,6.0,501
Aladrén,Zaragoza,Aladrén,-,-,-,0,1674.0,154117,9.0,720
Alaejos,Valladolid,Alaejos,-,-,-,0,1497.0,151208,8.0,668
Alagón,Zaragoza,Alagón,-,-,-,2,1674.0,154117,9.0,720
Alagón del Río,Cáceres,Alagón del Río,1140.35,2,-,0,1132.0,119586,6.0,497
Alaior,Illes Balears,Alaior,2951.21,285,-,0,3139.0,358810,14.0,1392
Alájar,Huelva,Alájar,1096.96,10,5.5,2,1299.0,122249,10.0,761
Alajeró,Santa Cruz de Tenerife,Alajeró,-,-,9.23,1,1906.0,174893,10.0,793
Alameda,Málaga,Alameda,696.46,72,3.98,3,2630.0,301594,11.0,1055
Alameda de Gardón (La),Salamanca,La Alameda de Gardón,0,0,-,0,1673.0,156058,9.0,801
Alameda de la Sagra,Toledo,Alameda de la Sagra,1163.01,59,6.28,6,1023.0,103420,7.0,582
Alameda del Valle,Madrid,Alameda del Valle,1256.2,12,5.28,1,3314.0,343514,16.0,1414
Alamedilla,Granada,Alamedilla,467.42,7,-,0,1691.0,181669,8.0,760
Alamedilla (La),Salamanca,La Alamedilla,523.41,3,-,0,1673.0,156058,9.0,801
Alamillo,Ciudad Real,Alamillo,299.51,4,-,0,936.0,96893,5.0,461
Alaminos,Guadalajara,Alaminos,875.0,1,-,0,1372.0,146012,8.0,691
Álamo (El),Madrid,El Álamo,1686.11,80,7.68,6,3314.0,343514,16.0,1414
Alamús (Els),Lleida,Els Alamús,602.04,10,-,0,1159.0,114344,7.0,654
Alange,Badajoz,Alange,608.74,25,-,0,1149.0,126096,7.0,530
Alanís,Sevilla,Alanís,-,-,4.38,1,1611.0,162042,10.0,821
Alaquàs,Valencia,Alaquàs,847.97,232,7.22,7,1445.0,163450,11.0,1042
Alar del Rey,Palencia,Alar del Rey,395.3,23,-,0,1352.0,128845,7.0,499
Alaraz,Salamanca,Alaraz,370.09,6,-,0,1673.0,156058,9.0,801
Alarba,Zaragoza,Alarba,-,-,-,0,1674.0,154117,9.0,720
Alarcón,Cuenca,Alarcón,2750.0,2,2.46,1,1139.0,119313,8.0,608
Alarilla,Guadalajara,Alarilla,423.33,2,-,0,1372.0,146012,8.0,691
Alaró,Illes Balears,Alaró,-,-,-,0,3139.0,358810,14.0,1392
Alàs i Cerc,Lleida,Alàs i Cerc,-,-,-,0,1159.0,114344,7.0,654
Alatoz,Albacete,Alatoz,945.38,3,-,0,1300.0,152281,7.0,659
Alba,Teruel,Alba,-,-,-,0,1068.0,103002,6.0,501
Alba de Cerrato,Palencia,Alba de Cerrato,209.02,3,-,0,1352.0,128845,7.0,499
