municipio,provincia,municipio_nombre_humano,precio_m2_alquiler,num_casas_alquiler
Agurain/Salvatierra,Álava,Agurain/Salvatierra,-,0
Alegría-Dulantzi,Álava,Alegría-Dulantzi,8.33,1
Amurrio,Álava,Amurrio,-,0
Añana,Álava,Añana,-,0
Aramaio,Álava,Aramaio,-,0
Armiñón,Álava,Armiñón,-,0
Arraia-Maeztu,Álava,Arraia-Maeztu,-,0
Arratzua-Ubarrundia,Álava,Arratzua-Ubarrundia,-,0
Artziniega,Álava,Artziniega,-,0
Asparrena,Álava,Asparrena,2.83,1
Ayala/Aiara,Álava,Ayala/Aiara,-,0
Baños de Ebro/Mañueta,Álava,Baños de Ebro/Mañueta,-,0
Barrundia,Álava,Barrundia,-,0
Berantevilla,Álava,Berantevilla,-,0
Bernedo,Álava,Bernedo,-,0
Campezo/Kanpezu,Álava,Campezo/Kanpezu,-,0
Elburgo/Burgelu,Álava,Elburgo/Burgelu,-,0
Elciego,Álava,Elciego,-,0
Elvillar/Bilar,Álava,Elvillar/Bilar,-,0
Erriberabeitia,Álava,Erriberabeitia,-,0
Erriberagoitia/Ribera Alta,Álava,Erriberagoitia/Ribera Alta,1.5,1
Harana/Valle de Arana,Álava,Harana/Valle de Arana,-,0
Iruña Oka/Iruña de Oca,Álava,Iruña Oka/Iruña de Oca,-,0
Iruraiz-Gauna,Álava,Iruraiz-Gauna,-,0
Kripan,Álava,Kripan,-,0
Kuartango,Álava,Kuartango,-,0
Labastida/Bastida,Álava,Labastida/Bastida,-,0
Lagrán,Álava,Lagrán,-,0
Laguardia,Álava,Laguardia,8.03,3
Lanciego/Lantziego,Álava,Lanciego/Lantziego,-,0
Lantarón,Álava,Lantarón,-,0
Lapuebla de Labarca,Álava,Lapuebla de Labarca,-,0
Laudio/Llodio,Álava,Laudio/Llodio,-,0
Legutio,Álava,Legutio,-,0
Leza,Álava,Leza,-,0
Moreda de Álava/Moreda Araba,Álava,Moreda de Álava/Moreda Araba,-,0
Navaridas,Álava,Navaridas,-,0
Okondo,Álava,Okondo,-,0
Oyón-Oion,Álava,Oyón-Oion,-,0
Peñacerrada-Urizaharra,Álava,Peñacerrada-Urizaharra,-,0
Samaniego,Álava,Samaniego,-,0
San Millán/Donemiliaga,Álava,San Millán/Donemiliaga,-,0
Urkabustaiz,Álava,Urkabustaiz,-,0
Valdegovía/Gaubea,Álava,Valdegovía/Gaubea,-,0
Villabuena de Álava/Eskuernaga,Álava,Villabuena de Álava/Eskuernaga,-,0
Vitoria-Gasteiz,Álava,Vitoria-Gasteiz,-,98
Yécora/Iekora,Álava,Yécora/Iekora,-,0
Zalduondo,Álava,Zalduondo,-,0
Zambrana,Álava,Zambrana,-,0
Zigoitia,Álava,Zigoitia,-,0
Zuia,Álava,Zuia,-,0
Abengibre,Albacete,Abengibre,-,0
Alatoz,Albacete,Alatoz,-,0
Albacete,Albacete,Albacete,-,199
Albatana,Albacete,Albatana,-,0
Alborea,Albacete,Alborea,1.53,1
Alcadozo,Albacete,Alcadozo,-,0
Alcalá del Júcar,Albacete,Alcalá del Júcar,-,0
Alcaraz,Albacete,Alcaraz,1.83,2
Almansa,Albacete,Almansa,5.29,23
Alpera,Albacete,Alpera,-,0
Ayna,Albacete,Ayna,-,0
Balazote,Albacete,Balazote,-,0
Ballestero (El),Albacete,El Ballestero,-,0
Balsa de Ves,Albacete,Balsa de Ves,-,0
Barrax,Albacete,Barrax,-,0
Bienservida,Albacete,Bienservida,2.73,1
Bogarra,Albacete,Bogarra,-,0
Bonete,Albacete,Bonete,-,0
Bonillo (El),Albacete,El Bonillo,-,0
Carcelén,Albacete,Carcelén,-,0
Casas de Juan Núñez,Albacete,Casas de Juan Núñez,-,0
Casas de Lázaro,Albacete,Casas de Lázaro,-,0
Casas de Ves,Albacete,Casas de Ves,-,0
Casas-Ibáñez,Albacete,Casas-Ibáñez,3.89,1
Caudete,Albacete,Caudete,3.7,7
Cenizate,Albacete,Cenizate,-,0
Chinchilla de Monte-Aragón,Albacete,Chinchilla de Monte-Aragón,7.5,1
Corral-Rubio,Albacete,Corral-Rubio,-,0
Cotillas,Albacete,Cotillas,-,0
Elche de la Sierra,Albacete,Elche de la Sierra,-,0
Férez,Albacete,Férez,1.44,1
Fuensanta,Albacete,Fuensanta,-,0
Fuente-Álamo,Albacete,Fuente-Álamo,3.24,1
Fuentealbilla,Albacete,Fuentealbilla,-,0
Gineta (La),Albacete,La Gineta,5.0,1
