municipio,provincia,municipio_nombre_humano,precio_m2_venta,num_casas_venta
Ababuj,Teruel,Ababuj,-,-
Abades,Segovia,Abades,-,-
Abadía,Cáceres,Abadía,250.0,1
Abadín,Lugo,Abadín,426.59,27
Abadiño,Bizkaia,Abadiño,1978.46,84
Abáigar,Navarra,Abáigar,1388.89,1
Abajas,Burgos,Abajas,478.92,1
Ábalos,La Rioja,Ábalos,842.89,10
Abaltzisketa,Gipuzkoa,Abaltzisketa,-,-
Abánades,Guadalajara,Abánades,328.0,2
Abanilla,Murcia,Abanilla,983.06,130
Abanto,Zaragoza,Abanto,-,-
Abanto y Ciérvana-Abanto Zierbena,Bizkaia,Abanto y Ciérvana-Abanto Zierbena,1917.08,52
Abarán,Murcia,Abarán,675.93,106
Abarca de Campos,Palencia,Abarca de Campos,-,-
Abárzuza/Abartzuza,Navarra,Abárzuza,-,-
Abaurregaina/Abaurrea Alta,Navarra,Abaurregaina,-,-
Abaurrepea/Abaurrea Baja,Navarra,Abaurrepea,-,-
Abegondo,A Coruña,Abegondo,843.32,83
Abejar,Soria,Abejar,-,-
Abejuela,Teruel,Abejuela,-,-
Abella de la Conca,Lleida,Abella de la Conca,895.95,1
Abengibre,Albacete,Abengibre,789.76,13
Abenójar,Ciudad Real,Abenójar,436.2,10
Aberin,Navarra,Aberin,581.35,17
Abertura,Cáceres,Abertura,727.27,1
Abezames,Zamora,Abezames,-,-
Abia de la Obispalía,Cuenca,Abia de la Obispalía,0,0
Abia de las Torres,Palencia,Abia de las Torres,220.9,4
Abiego,Huesca,Abiego,480.86,9
Abizanda,Huesca,Abizanda,291.67,2
Abla,Almería,Abla,692.91,39
Ablanque,Guadalajara,Ablanque,0,0
Ablitas,Navarra,Ablitas,510.49,11
Abrera,Barcelona,Abrera,1977.19,86
Abrucena,Almería,Abrucena,613.33,62
Abusejo,Salamanca,Abusejo,350.44,6
Acebeda (La),Madrid,La Acebeda,882.81,3
Acebedo,León,Acebedo,615.36,4
Acebo,Cáceres,Acebo,478.1,12
Acebrón (El),Cuenca,El Acebrón,372.39,10
Acedera,Badajoz,Acedera,714.29,1
Acehúche,Cáceres,Acehúche,296.8,5
Aceituna,Cáceres,Aceituna,0,0
Acered,Zaragoza,Acered,149.53,5
Aceuchal,Badajoz,Aceuchal,512.38,18
Adahuesca,Huesca,Adahuesca,1348.48,4
Adalia,Valladolid,Adalia,-,-
Adamuz,Córdoba,Adamuz,771.76,18
Adanero,Ávila,Adanero,611.61,6
Adeje,Santa Cruz de Tenerife,Adeje,3350.08,1782
Ademuz,Valencia,Ademuz,-,-
Adiós,Navarra,Adiós,0,0
Adobes,Guadalajara,Adobes,0,0
Ador,Valencia,Ador,774.5,60
Adra,Almería,Adra,921.28,209
Adrada (La),Ávila,La Adrada,800.95,112
Adrada de Haza,Burgos,Adrada de Haza,830.0,2
Adrada de Pirón,Segovia,Adrada de Pirón,1709.4,4
Adradas,Soria,Adradas,-,-
Adrados,Segovia,Adrados,-,-
Aduna,Gipuzkoa,Aduna,-,-
Agaete,Las Palmas,Agaete,1890.77,39
Agallas,Salamanca,Agallas,601.75,2
Àger,Lleida,Àger,1271.52,14
Agolada,Pontevedra,Agolada,494.15,24
Agón,Zaragoza,Agón,-,-
Agoncillo,La Rioja,Agoncillo,763.07,56
Agost,Alicante,Agost,926.19,90
Agramunt,Lleida,Agramunt,515.0,40
Ágreda,Soria,Ágreda,-,-
Agres,Alicante,Agres,446.2,19
Agrón,Granada,Agrón,409.35,6
Aguadulce,Sevilla,Aguadulce,1325.14,541
Aguarón,Zaragoza,Aguarón,-,-
Aguas Cándidas,Burgos,Aguas Cándidas,356.75,5
Aguasal,Valladolid,Aguasal,-,-
Aguatón,Teruel,Aguatón,-,0
Aguaviva,Teruel,Aguaviva,-,-
Agudo,Ciudad Real,Agudo,328.27,8
Agüero,Huesca,Agüero,-,-
Aguilafuente,Segovia,Aguilafuente,-,-
Aguilar de Bureba,Burgos,Aguilar de Bureba,0,0
Aguilar de Campoo,Palencia,Aguilar de Campoo,728.26,114
Aguilar de Campos,Valladolid,Aguilar de Campos,-,-
Aguilar de Codés,Navarra,Aguilar de Codés,441.05,6
Aguilar de la Frontera,Córdoba,Aguilar de la Frontera,632.32,97
Aguilar de Segarra,Barcelona,Aguilar de Segarra,1661.06,5
Aguilar del Alfambra,Teruel,Aguilar del Alfambra,-,-
Aguilar del Río Alhama,La Rioja,Aguilar del Río Alhama,543.08,15
Águilas,Murcia,Águilas,1183.56,1204
