municipio,provincia,codigo_ine,municipio_nombre_humano,num_colegios
Ababuj,Teruel,44001,Ababuj,0
Abades,Segovia,40001,Abades,0
Abadía,Cáceres,10001,Abadía,0
Abadín,Lugo,27001,Abadín,2
Abadiño,Bizkaia,48001,Abadiño,6
Abáigar,Navarra,31001,Abáigar,0
Abajas,Burgos,9001,Abajas,0
Ábalos,La Rioja,26001,Ábalos,0
Abaltzisketa,Gipuzkoa,20001,Abaltzisketa,1
Abánades,Guadalajara,19001,Abánades,0
Abanilla,Murcia,30001,Abanilla,5
Abanto,Zaragoza,50001,Abanto,0
Abanto y Ciérvana-Abanto Zierbena,Bizkaia,48002,Abanto y Ciérvana-Abanto Zierbena,0
Abarán,Murcia,30002,Abarán,7
Abarca de Campos,Palencia,34001,Abarca de Campos,0
Abárzuza/Abartzuza,Navarra,31002,Abárzuza/Abartzuza,1
Abaurregaina/Abaurrea Alta,Navarra,31003,Abaurregaina/Abaurrea Alta,0
Abaurrepea/Abaurrea Baja,Navarra,31004,Abaurrepea/Abaurrea Baja,0
Abegondo,A Coruña,15001,Abegondo,32
Abejar,Soria,42001,Abejar,0
Abejuela,Teruel,44002,Abejuela,0
Abella de la Conca,Lleida,25001,Abella de la Conca,0
Abengibre,Albacete,2001,Abengibre,2
Abenójar,Ciudad Real,13001,Abenójar,1
Aberin,Navarra,31005,Aberin,0
Abertura,Cáceres,10002,Abertura,0
Abezames,Zamora,49002,Abezames,0
Abia de la Obispalía,Cuenca,16001,Abia de la Obispalía,0
Abia de las Torres,Palencia,34003,Abia de las Torres,0
Abiego,Huesca,22001,Abiego,0
Abizanda,Huesca,22002,Abizanda,0
Abla,Almería,4001,Abla,3
Ablanque,Guadalajara,19002,Ablanque,0
Ablitas,Navarra,31006,Ablitas,3
Abrera,Barcelona,8001,Abrera,0
Abrucena,Almería,4002,Abrucena,1
Abusejo,Salamanca,37001,Abusejo,0
Acebeda (La),Madrid,28001,La Acebeda,0
Acebedo,León,24001,Acebedo,0
Acebo,Cáceres,10003,Acebo,1
Acebrón (El),Cuenca,16002,El Acebrón,0
Acedera,Badajoz,6001,Acedera,2
Acehúche,Cáceres,10004,Acehúche,1
Aceituna,Cáceres,10005,Aceituna,0
Acered,Zaragoza,50002,Acered,0
Aceuchal,Badajoz,6002,Aceuchal,2
Adahuesca,Huesca,22003,Adahuesca,2
Adalia,Valladolid,47001,Adalia,0
Adamuz,Córdoba,14001,Adamuz,5
Adanero,Ávila,5001,Adanero,0
Adeje,Santa Cruz de Tenerife,38001,Adeje,12
Ademuz,Valencia,46001,Ademuz,4
Adiós,Navarra,31007,Adiós,0
Adobes,Guadalajara,19003,Adobes,0
Ador,Valencia,46002,Ador,3
Adra,Almería,4003,Adra,30
Adrada (La),Ávila,5002,La Adrada,3
Adrada de Haza,Burgos,9003,Adrada de Haza,0
Adrada de Pirón,Segovia,40002,Adrada de Pirón,0
Adradas,Soria,42003,Adradas,0
Adrados,Segovia,40003,Adrados,0
Aduna,Gipuzkoa,20002,Aduna,1
Agaete,Las Palmas,35001,Agaete,5
Agallas,Salamanca,37002,Agallas,0
Àger,Lleida,25002,Àger,1
Agolada,Pontevedra,36020,Agolada,1
Agón,Zaragoza,50003,Agón,0
Agoncillo,La Rioja,26002,Agoncillo,2
Agost,Alicante,3002,Agost,6
Agramunt,Lleida,25003,Agramunt,5
Ágreda,Soria,42004,Ágreda,4
Agres,Alicante,3003,Agres,0
Agrón,Granada,18001,Agrón,0
Aguadulce,Sevilla,41001,Aguadulce,0
Aguarón,Zaragoza,50004,Aguarón,1
Aguas Cándidas,Burgos,9006,Aguas Cándidas,0
Aguasal,Valladolid,47002,Aguasal,0
Aguatón,Teruel,44003,Aguatón,0
Aguaviva,Teruel,44004,Aguaviva,1
Agudo,Ciudad Real,13002,Agudo,2
Agüero,Huesca,22004,Agüero,0
Aguilafuente,Segovia,40004,Aguilafuente,1
Aguilar de Bureba,Burgos,9007,Aguilar de Bureba,0
Aguilar de Campoo,Palencia,34004,Aguilar de Campoo,6
Aguilar de Campos,Valladolid,47003,Aguilar de Campos,0
Aguilar de Codés,Navarra,31008,Aguilar de Codés,0
Aguilar de la Frontera,Córdoba,14002,Aguilar de la Frontera,10
Aguilar de Segarra,Barcelona,8002,Aguilar de Segarra,0
Aguilar del Alfambra,Teruel,44005,Aguilar del Alfambra,0
Aguilar del Río Alhama,La Rioja,26003,Aguilar del Río Alhama,0
Águilas,Murcia,30003,Águilas,20
Aguilón,Zaragoza,50005,Aguilón,0
Agüimes,Las Palmas,35002,Agüimes,8
Agullana,Girona,17001,Agullana,2
Agullent,Valencia,46004,Agullent,4
Agulo,Santa Cruz de Tenerife,38002,Agulo,2
Agurain/Salvatierra,Álava,1051,Agurain/Salvatierra,6
Ahigal,Cáceres,10006,Ahigal,1
Ahigal de los Aceiteros,Salamanca,37003,Ahigal de los Aceiteros,0
Ahigal de Villarino,Salamanca,37004,Ahigal de Villarino,0
Ahillones,Badajoz,6003,Ahillones,1
