codigo_ine,municipio,provincia,municipio_nombre_humano
44001,Ababuj,Teruel,Ababuj
40001,Abades,Segovia,Abades
10001,Abadía,Cáceres,Abadía
27001,Abadín,Lugo,Abadín
48001,Abadiño,Bizkaia,Abadiño
31001,Abáigar,Navarra,Abáigar
09001,Abajas,Burgos,Abajas
26001,Ábalos,La Rioja,Ábalos
20001,Abaltzisketa,Gipuzkoa,Abaltzisketa
19001,Abánades,Guadalajara,Abánades
30001,Abanilla,Murcia,Abanilla
50001,Abanto,Zaragoza,Abanto
48002,Abanto y Ciérvana-Abanto Zierbena,Bizkaia,Abanto y Ciérvana-Abanto Zierbena
30002,Abarán,Murcia,Abarán
34001,Abarca de Campos,Palencia,Abarca de Campos
31002,Abárzuza/Abartzuza,Navarra,Abárzuza/Abartzuza
31003,Abaurregaina/Abaurrea Alta,Navarra,Abaurregaina/Abaurrea Alta
31004,Abaurrepea/Abaurrea Baja,Navarra,Abaurrepea/Abaurrea Baja
15001,Abegondo,A Coruña,Abegondo
42001,Abejar,Soria,Abejar
44002,Abejuela,Teruel,Abejuela
25001,Abella de la Conca,Lleida,Abella de la Conca
02001,Abengibre,Albacete,Abengibre
13001,Abenójar,Ciudad Real,Abenójar
31005,Aberin,Navarra,Aberin
10002,Abertura,Cáceres,Abertura
49002,Abezames,Zamora,Abezames
16001,Abia de la Obispalía,Cuenca,Abia de la Obispalía
34003,Abia de las Torres,Palencia,Abia de las Torres
22001,Abiego,Huesca,Abiego
22002,Abizanda,Huesca,Abizanda
04001,Abla,Almería,Abla
19002,Ablanque,Guadalajara,Ablanque
31006,Ablitas,Navarra,Ablitas
08001,Abrera,Barcelona,Abrera
04002,Abrucena,Almería,Abrucena
37001,Abusejo,Salamanca,Abusejo
28001,Acebeda (La),Madrid,La Acebeda
24001,Acebedo,León,Acebedo
10003,Acebo,Cáceres,Acebo
16002,Acebrón (El),Cuenca,El Acebrón
06001,Acedera,Badajoz,Acedera
10004,Acehúche,Cáceres,Acehúche
10005,Aceituna,Cáceres,Aceituna
50002,Acered,Zaragoza,Acered
06002,Aceuchal,Badajoz,Aceuchal
22003,Adahuesca,Huesca,Adahuesca
47001,Adalia,Valladolid,Adalia
14001,Adamuz,Córdoba,Adamuz
05001,Adanero,Ávila,Adanero
38001,Adeje,Santa Cruz de Tenerife,Adeje
46001,Ademuz,Valencia,Ademuz
31007,Adiós,Navarra,Adiós
19003,Adobes,Guadalajara,Adobes
46002,Ador,Valencia,Ador
04003,Adra,Almería,Adra
05002,Adrada (La),Ávila,La Adrada
09003,Adrada de Haza,Burgos,Adrada de Haza
40002,Adrada de Pirón,Segovia,Adrada de Pirón
42003,Adradas,Soria,Adradas
40003,Adrados,Segovia,Adrados
20002,Aduna,Gipuzkoa,Aduna
35001,Agaete,Las Palmas,Agaete
37002,Agallas,Salamanca,Agallas
25002,Àger,Lleida,Àger
36020,Agolada,Pontevedra,Agolada
50003,Agón,Zaragoza,Agón
26002,Agoncillo,La Rioja,Agoncillo
03002,Agost,Alicante,Agost
25003,Agramunt,Lleida,Agramunt
42004,Ágreda,Soria,Ágreda
03003,Agres,Alicante,Agres
18001,Agrón,Granada,Agrón
41001,Aguadulce,Sevilla,Aguadulce
50004,Aguarón,Zaragoza,Aguarón
09006,Aguas Cándidas,Burgos,Aguas Cándidas
47002,Aguasal,Valladolid,Aguasal
44003,Aguatón,Teruel,Aguatón
44004,Aguaviva,Teruel,Aguaviva
13002,Agudo,Ciudad Real,Agudo
22004,Agüero,Huesca,Agüero
40004,Aguilafuente,Segovia,Aguilafuente
09007,Aguilar de Bureba,Burgos,Aguilar de Bureba
34004,Aguilar de Campoo,Palencia,Aguilar de Campoo
47003,Aguilar de Campos,Valladolid,Aguilar de Campos
31008,Aguilar de Codés,Navarra,Aguilar de Codés
14002,Aguilar de la Frontera,Córdoba,Aguilar de la Frontera
08002,Aguilar de Segarra,Barcelona,Aguilar de Segarra
44005,Aguilar del Alfambra,Teruel,Aguilar del Alfambra
26003,Aguilar del Río Alhama,La Rioja,Aguilar del Río Alhama
30003,Águilas,Murcia,Águilas
50005,Aguilón,Zaragoza,Aguilón
35002,Agüimes,Las Palmas,Agüimes
17001,Agullana,Girona,Agullana
46004,Agullent,Valencia,Agullent
38002,Agulo,Santa Cruz de Tenerife,Agulo
01051,Agurain/Salvatierra,Álava,Agurain/Salvatierra
10006,Ahigal,Cáceres,Ahigal
37003,Ahigal de los Aceiteros,Salamanca,Ahigal de los Aceiteros
37004,Ahigal de Villarino,Salamanca,Ahigal de Villarino
06003,Ahillones,Badajoz,Ahillones
20016,Aia,Gipuzkoa,Aia
31009,Aibar/Oibar,Navarra,Aibar/Oibar
46042,Aielo de Malferit,Valencia,Aielo de Malferit
46043,Aielo de Rugat,Valencia,Aielo de Rugat
08014,Aiguafreda,Barcelona,Aiguafreda
43001,Aiguamúrcia,Tarragona,Aiguamúrcia
17002,Aiguaviva,Girona,Aiguaviva
03004,Aigües,Alicante,Aigües
12002,Aín,Castellón,Aín
22907,Aínsa-Sobrarbe,Huesca,Aínsa-Sobrarbe
50006,Ainzón,Zaragoza,Ainzón
22006,Aisa,Huesca,Aisa
25038,Aitona,Lleida,Aitona
20003,Aizarnazabal,Gipuzkoa,Aizarnazabal
28002,Ajalvir,Madrid,Ajalvir
26004,Ajamil de Cameros,La Rioja,Ajamil de Cameros
48911,Ajangiz,Bizkaia,Ajangiz
45001,Ajofrín,Toledo,Ajofrín
44006,Alacón,Teruel,Alacón
50007,Aladrén,Zaragoza,Aladrén
47004,Alaejos,Valladolid,Alaejos
50008,Alagón,Zaragoza,Alagón
10903,Alagón del Río,Cáceres,Alagón del Río
07002,Alaior,Islas Baleares,Alaior
21001,Alájar,Huelva,Alájar
38003,Alajeró,Santa Cruz de Tenerife,Alajeró
29001,Alameda,Málaga,Alameda
37005,Alameda de Gardón (La),Salamanca,La Alameda de Gardón
45002,Alameda de la Sagra,Toledo,Alameda de la Sagra
28003,Alameda del Valle,Madrid,Alameda del Valle
18002,Alamedilla,Granada,Alamedilla
37006,Alamedilla (La),Salamanca,La Alamedilla
13003,Alamillo,Ciudad Real,Alamillo
19004,Alaminos,Guadalajara,Alaminos
28004,Álamo (El),Madrid,El Álamo
25004,Alamús (Els),Lleida,Els Alamús
