municipio,provincia,municipio_nombre_humano,codigo_INE,lat,lon
Ababuj,Teruel,Ababuj,44001,40.54908,-0.80758
Abades,Segovia,Abades,40001,40.911905,-4.271385
Abadía,Cáceres,Abadía,10001,40.25922,-5.97828
Abadín,Lugo,Abadín,27001,43.36667,-7.48333
Abadiño,Bizkaia,Abadiño,48001,43.1511,-2.60942
Abáigar,Navarra,Abáigar,31001,42.64823,-2.14182
Abajas,Burgos,Abajas,9001,42.6231,-3.58086
Ábalos,La Rioja,Ábalos,26001,42.57154,-2.70956
Abaltzisketa,Gipuzkoa,Abaltzisketa,20001,43.034673,-2.105744
Abánades,Guadalajara,Abánades,19001,40.89261,-2.48526
Abanilla,Murcia,Abanilla,30001,38.206794,-1.040845
Abanto,Zaragoza,Abanto,50001,41.13751,-1.69818
Abanto y Ciérvana-Abanto Zierbena,Bizkaia,Abanto y Ciérvana-Abanto Zierbena,48002,43.309951,-3.08805
Abarán,Murcia,Abarán,30002,38.20553,-1.398906
Abarca de Campos,Palencia,Abarca de Campos,34001,42.058327,-4.84697
Abárzuza/Abartzuza,Navarra,Abárzuza/Abartzuza,31002,42.727478,-2.02117
Abaurregaina/Abaurrea Alta,Navarra,Abaurregaina/Abaurrea Alta,31003,42.9,-1.2
Abaurrepea/Abaurrea Baja,Navarra,Abaurrepea/Abaurrea Baja,31004,42.915641,-1.202067
Abegondo,A Coruña,Abegondo,15001,43.21667,-8.28333
Abejar,Soria,Abejar,42001,41.80755,-2.78407
Abejuela,Teruel,Abejuela,44002,39.91039,-0.89444
Abella de la Conca,Lleida,Abella de la Conca,25001,42.16163,1.09228
Abengibre,Albacete,Abengibre,2001,39.209727,-1.541551
Abenójar,Ciudad Real,Abenójar,13001,38.879732,-4.355776
Aberin,Navarra,Aberin,31005,42.61868,-2.00706
Abertura,Cáceres,Abertura,10002,39.24352,-5.81394
Abezames,Zamora,Abezames,49002,41.62642,-5.42577
Abia de la Obispalía,Cuenca,Abia de la Obispalía,16001,40.01836,-2.39499
Abia de las Torres,Palencia,Abia de las Torres,34003,42.42016,-4.42131
Abiego,Huesca,Abiego,22001,42.12094,-0.06873
Abizanda,Huesca,Abizanda,22002,42.24236,0.19717
Abla,Almería,Abla,4001,37.141895,-2.778084
Ablanque,Guadalajara,Ablanque,19002,40.89818,-2.22523
Ablitas,Navarra,Ablitas,31006,41.974773,-1.640204
Abrera,Barcelona,Abrera,8001,41.49669,1.900894
Abrucena,Almería,Abrucena,4002,37.133457,-2.796909
Abusejo,Salamanca,Abusejo,37001,40.709,-6.14074
Acebeda (La),Madrid,La Acebeda,28001,41.086971,-3.62523
Acebedo,León,Acebedo,24001,43.03969,-5.116
Acebo,Cáceres,Acebo,10003,40.2017,-6.7172
Acebrón (El),Cuenca,El Acebrón,16002,39.90706,-2.987499
Acedera,Badajoz,Acedera,6001,39.08414,-5.625607
Acehúche,Cáceres,Acehúche,10004,39.802203,-6.633267
Aceituna,Cáceres,Aceituna,10005,40.15008,-6.33292
Acered,Zaragoza,Acered,50002,41.01667,-1.6
Aceuchal,Badajoz,Aceuchal,6002,38.645953,-6.48728
Adahuesca,Huesca,Adahuesca,22003,42.1461,-0.00804
Adalia,Valladolid,Adalia,47001,41.64894,-5.12107
Adamuz,Córdoba,Adamuz,14001,38.027055,-4.521938
Adanero,Ávila,Adanero,5001,40.94487,-4.60561
Adeje,Santa Cruz de Tenerife,Adeje,38001,28.122365,-16.731754
Ademuz,Valencia,Ademuz,46001,40.062515,-1.286151
Adiós,Navarra,Adiós,31007,42.68635,-1.73532
