municipio,provincia,municipio_nombre_humano,codigo_ine,linea_costa_provincia,linea_montana_provincia
Ababuj,Teruel,Ababuj,44001,2,1
Abades,Segovia,Abades,40001,3,1
Abadía,Cáceres,Abadía,10001,0,3
Abadín,Lugo,Abadín,27001,1,2
Abadiño,Bizkaia,Abadiño,48001,1,2
Abáigar,Navarra,Abáigar,31001,2,2
Abajas,Burgos,Abajas,09001,2,2
Ábalos,La Rioja,Ábalos,26001,2,2
Abaltzisketa,Gipuzkoa,Abaltzisketa,20001,1,2
Abánades,Guadalajara,Abánades,19001,0,1
Abanilla,Murcia,Abanilla,30001,1,2
Abanto,Zaragoza,Abanto,50001,2,1
Abanto y Ciérvana-Abanto Zierbena,Bizkaia,Abanto y Ciérvana-Abanto Zierbena,48002,1,2
Abarán,Murcia,Abarán,30002,1,2
Abarca de Campos,Palencia,Abarca de Campos,34001,2,2
Abárzuza/Abartzuza,Navarra,Abárzuza/Abartzuza,31002,2,2
Abaurregaina/Abaurrea Alta,Navarra,Abaurregaina/Abaurrea Alta,31003,2,2
Abaurrepea/Abaurrea Baja,Navarra,Abaurrepea/Abaurrea Baja,31004,2,2
Abegondo,A Coruña,Abegondo,15001,1,3
Abejar,Soria,Abejar,42001,3,1
Abejuela,Teruel,Abejuela,44002,2,1
Abella de la Conca,Lleida,Abella de la Conca,25001,2,1
Abengibre,Albacete,Abengibre,02001,2,2
Abenójar,Ciudad Real,Abenójar,13001,3,2
Aberin,Navarra,Aberin,31005,2,2
Abertura,Cáceres,Abertura,10002,0,3
Abezames,Zamora,Abezames,49002,3,2
Abia de la Obispalía,Cuenca,Abia de la Obispalía,16001,2,2
Abia de las Torres,Palencia,Abia de las Torres,34003,2,2
Abiego,Huesca,Abiego,22001,2,1
Abizanda,Huesca,Abizanda,22002,2,1
Abla,Almería,Abla,04001,1,2
Ablanque,Guadalajara,Ablanque,19002,0,1
Ablitas,Navarra,Ablitas,31006,2,2
Abrera,Barcelona,Abrera,08001,1,2
Abrucena,Almería,Abrucena,04002,1,2
Abusejo,Salamanca,Abusejo,37001,0,2
Acebeda (La),Madrid,La Acebeda,28001,3,2
Acebedo,León,Acebedo,24001,2,1
Acebo,Cáceres,Acebo,10003,0,3
Acebrón (El),Cuenca,El Acebrón,16002,2,2
Acedera,Badajoz,Acedera,06001,3,0
Acehúche,Cáceres,Acehúche,10004,0,3
Aceituna,Cáceres,Aceituna,10005,0,3
Acered,Zaragoza,Acered,50002,2,1
Aceuchal,Badajoz,Aceuchal,06002,3,0
Adahuesca,Huesca,Adahuesca,22003,2,1
Adalia,Valladolid,Adalia,47001,3,0
Adamuz,Córdoba,Adamuz,14001,2,2
Adanero,Ávila,Adanero,05001,0,1
Adeje,Santa Cruz de Tenerife,Adeje,38001,1,2
Ademuz,Valencia,Ademuz,46001,1,0
Adiós,Navarra,Adiós,31007,2,2
Adobes,Guadalajara,Adobes,19003,0,1
Ador,Valencia,Ador,46002,1,0
Adra,Almería,Adra,04003,1,2
Adrada (La),Ávila,La Adrada,05002,0,1
Adrada de Haza,Burgos,Adrada de Haza,09003,2,2
Adrada de Pirón,Segovia,Adrada de Pirón,40002,3,1
Adradas,Soria,Adradas,42003,3,1
Adrados,Segovia,Adrados,40003,3,1
Aduna,Gipuzkoa,Aduna,20002,1,2
Agaete,Las Palmas,Agaete,35001,1,2
Agallas,Salamanca,Agallas,37002,0,2
Àger,Lleida,Àger,25002,2,1
Agolada,Pontevedra,Agolada,36020,1,3
Agón,Zaragoza,Agón,50003,2,1
Agoncillo,La Rioja,Agoncillo,26002,2,2
Agost,Alicante,Agost,03002,1,3
Agramunt,Lleida,Agramunt,25003,2,1
Ágreda,Soria,Ágreda,42004,3,1
Agres,Alicante,Agres,03003,1,3
Agrón,Granada,Agrón,18001,1,1
Aguadulce,Sevilla,Aguadulce,41001,2,0
Aguarón,Zaragoza,Aguarón,50004,2,1
Aguas Cándidas,Burgos,Aguas Cándidas,09006,2,2
Aguasal,Valladolid,Aguasal,47002,3,0
Aguatón,Teruel,Aguatón,44003,2,1
Aguaviva,Teruel,Aguaviva,44004,2,1
Agudo,Ciudad Real,Agudo,13002,3,2
Agüero,Huesca,Agüero,22004,2,1
