municipio,provincia,municipio_nombre_humano,lat,lon
Agurain/Salvatierra,Álava,Agurain/Salvatierra,42.847308,-2.392287
Alegría-Dulantzi,Álava,Alegría-Dulantzi,42.841339,-2.51244
Amurrio,Álava,Amurrio,43.052099,-3.001084
Añana,Álava,Añana,42.80199,-2.98636
Aramaio,Álava,Aramaio,43.039,-2.60173
Armiñón,Álava,Armiñón,42.72313,-2.87172
Arraia-Maeztu,Álava,Arraia-Maeztu,42.74284,-2.44683
Arratzua-Ubarrundia,Álava,Arratzua-Ubarrundia,42.889187,-2.639355
Artziniega,Álava,Artziniega,43.120812,-3.127981
Asparrena,Álava,Asparrena,42.889667,-2.316775
Ayala/Aiara,Álava,Ayala/Aiara,43.069205,-3.024081
Baños de Ebro/Mañueta,Álava,Baños de Ebro/Mañueta,42.52997,-2.67924
Barrundia,Álava,Barrundia,42.91377,-2.5071
Berantevilla,Álava,Berantevilla,42.68254,-2.85832
Bernedo,Álava,Bernedo,42.62663,-2.49784
Campezo/Kanpezu,Álava,Campezo/Kanpezu,42.69412,-2.36442
Elburgo/Burgelu,Álava,Elburgo/Burgelu,42.84972,-2.54513
Elciego,Álava,Elciego,42.515216,-2.619526
Elvillar/Bilar,Álava,Elvillar/Bilar,42.56994,-2.54502
Erriberabeitia,Álava,Erriberabeitia,42.910532,-2.754306
Erriberagoitia/Ribera Alta,Álava,Erriberagoitia/Ribera Alta,42.910532,-2.754306
Harana/Valle de Arana,Álava,Harana/Valle de Arana,42.910532,-2.754306
Iruña Oka/Iruña de Oca,Álava,Iruña Oka/Iruña de Oca,42.82931,-2.81194
Iruraiz-Gauna,Álava,Iruraiz-Gauna,42.82001,-2.49002
Kripan,Álava,Kripan,42.59113,-2.51656
Kuartango,Álava,Kuartango,42.895743,-2.933869
Labastida/Bastida,Álava,Labastida/Bastida,42.588749,-2.796281
Lagrán,Álava,Lagrán,42.62625,-2.58385
Laguardia,Álava,Laguardia,42.553699,-2.584773
Lanciego/Lantziego,Álava,Lanciego/Lantziego,42.56248,-2.51343
Lantarón,Álava,Lantarón,42.728169,-3.004472
Lapuebla de Labarca,Álava,Lapuebla de Labarca,42.49454,-2.5734
Laudio/Llodio,Álava,Laudio/Llodio,43.142083,-2.959191
Legutio,Álava,Legutio,42.979847,-2.642626
Leza,Álava,Leza,42.56552,-2.63324
Moreda de Álava/Moreda Araba,Álava,Moreda de Álava/Moreda Araba,42.52571,-2.40828
Navaridas,Álava,Navaridas,42.54566,-2.6265
Okondo,Álava,Okondo,43.179363,-3.00113
Oyón-Oion,Álava,Oyón-Oion,42.505159,-2.435766
Peñacerrada-Urizaharra,Álava,Peñacerrada-Urizaharra,42.64356,-2.70796
Samaniego,Álava,Samaniego,42.56854,-2.67974
San Millán/Donemiliaga,Álava,San Millán/Donemiliaga,42.92552,-2.42733
Urkabustaiz,Álava,Urkabustaiz,42.972748,-2.920274
Valdegovía/Gaubea,Álava,Valdegovía/Gaubea,42.84777,-3.09883
Villabuena de Álava/Eskuernaga,Álava,Villabuena de Álava/Eskuernaga,42.54788,-2.66552
Vitoria-Gasteiz,Álava,Vitoria-Gasteiz,42.854747,-2.676179
Yécora/Iekora,Álava,Yécora/Iekora,42.5681,-2.47038
Zalduondo,Álava,Zalduondo,42.884831,-2.349995
Zambrana,Álava,Zambrana,42.66102,-2.87909
Zigoitia,Álava,Zigoitia,42.97258,-2.72226
Zuia,Álava,Zuia,42.98404,-2.830075
Abengibre,Albacete,Abengibre,39.209727,-1.541551
Alatoz,Albacete,Alatoz,39.09495,-1.36098
Albacete,Albacete,Albacete,38.995097,-1.86197
Albatana,Albacete,Albatana,38.571977,-1.522897
Alborea,Albacete,Alborea,39.278861,-1.394938
Alcadozo,Albacete,Alcadozo,38.648845,-1.979948
Alcalá del Júcar,Albacete,Alcalá del Júcar,39.2,-1.43333
Alcaraz,Albacete,Alcaraz,38.697248,-2.531032
Almansa,Albacete,Almansa,38.869442,-1.104684
Alpera,Albacete,Alpera,38.95838,-1.231399
Ayna,Albacete,Ayna,38.55,-2.08333
Balazote,Albacete,Balazote,38.885548,-2.154767
Ballestero (El),Albacete,El Ballestero,38.84179,-2.45608
Balsa de Ves,Albacete,Balsa de Ves,39.26667,-1.2
Barrax,Albacete,Barrax,39.045505,-2.2014
Bienservida,Albacete,Bienservida,38.51716,-2.61087
Bogarra,Albacete,Bogarra,38.58139,-2.2129
Bonete,Albacete,Bonete,38.871511,-1.348672
Bonillo (El),Albacete,El Bonillo,38.950366,-2.539122
Carcelén,Albacete,Carcelén,39.10202,-1.30879
Casas de Juan Núñez,Albacete,Casas de Juan Núñez,39.101931,-1.558941
Casas de Lázaro,Albacete,Casas de Lázaro,38.77056,-2.24044
Casas de Ves,Albacete,Casas de Ves,39.25847,-1.333317
Casas-Ibáñez,Albacete,Casas-Ibáñez,39.286062,-1.472436
Caudete,Albacete,Caudete,38.704119,-0.982596
Cenizate,Albacete,Cenizate,39.302534,-1.662663
Chinchilla de Monte-Aragón,Albacete,Chinchilla de Monte-Aragón,38.920442,-1.724524
Corral-Rubio,Albacete,Corral-Rubio,38.83462,-1.46034
Cotillas,Albacete,Cotillas,38.43115,-2.5055
Elche de la Sierra,Albacete,Elche de la Sierra,38.450066,-2.048251
Férez,Albacete,Férez,38.35,-2.0
Fuensanta,Albacete,Fuensanta,39.23333,-2.06667
Fuente-Álamo,Albacete,Fuente-Álamo,38.692302,-1.431733
Fuentealbilla,Albacete,Fuentealbilla,39.268081,-1.550586
Gineta (La),Albacete,La Gineta,39.113108,-1.995466
Golosalvo,Albacete,Golosalvo,39.23333,-1.63333
Hellín,Albacete,Hellín,38.511341,-1.700442
Herrera (La),Albacete,La Herrera,38.61931,-1.78428
Higueruela,Albacete,Higueruela,38.962437,-1.442711
