municipio,provincia,municipio_nombre_humano,lat,lon,top_3_sitios,sitio_mas_frecuente
Agurain/Salvatierra,Álava,Agurain/Salvatierra,42.847308,-2.392287,sport;building;commercial,sport
Alegría-Dulantzi,Álava,Alegría-Dulantzi,42.841339,-2.51244,leisure;natural;access_limited,leisure
Amurrio,Álava,Amurrio,43.052099,-3.001084,catering;service;commercial,catering
Añana,Álava,Añana,42.80199,-2.98636,natural;catering;leisure,natural
Aramaio,Álava,Aramaio,43.039,-2.60173,natural;tourism;leisure,natural
Armiñón,Álava,Armiñón,42.72313,-2.87172,natural;building,natural
Arraia-Maeztu,Álava,Arraia-Maeztu,42.74284,-2.44683,natural;commercial;leisure,natural
Arratzua-Ubarrundia,Álava,Arratzua-Ubarrundia,42.889187,-2.639355,natural;building;catering,natural
Artziniega,Álava,Artziniega,43.120812,-3.127981,sport;catering;building,sport
Asparrena,Álava,Asparrena,42.889667,-2.316775,catering;commercial;service,catering
Ayala/Aiara,Álava,Ayala/Aiara,43.069205,-3.024081,leisure;natural;sport,leisure
Baños de Ebro/Mañueta,Álava,Baños de Ebro/Mañueta,42.52997,-2.67924,natural;sport;tourism,natural
Barrundia,Álava,Barrundia,42.91377,-2.5071,natural;access_limited,natural
Berantevilla,Álava,Berantevilla,42.68254,-2.85832,natural;catering;service,natural
Bernedo,Álava,Bernedo,42.62663,-2.49784,natural;sport;catering,natural
Campezo/Kanpezu,Álava,Campezo/Kanpezu,42.69412,-2.36442,natural;building;man_made,natural
Elburgo/Burgelu,Álava,Elburgo/Burgelu,42.84972,-2.54513,natural;access_limited;building,natural
Elciego,Álava,Elciego,42.515216,-2.619526,commercial;catering;service,commercial
Elvillar/Bilar,Álava,Elvillar/Bilar,42.56994,-2.54502,natural;tourism,natural
Erriberabeitia,Álava,Erriberabeitia,42.910532,-2.754306,natural,natural
Erriberagoitia/Ribera Alta,Álava,Erriberagoitia/Ribera Alta,42.910532,-2.754306,natural,natural
Harana/Valle de Arana,Álava,Harana/Valle de Arana,42.910532,-2.754306,natural,natural
Iruña Oka/Iruña de Oca,Álava,Iruña Oka/Iruña de Oca,42.82931,-2.81194,natural;catering;leisure,natural
Iruraiz-Gauna,Álava,Iruraiz-Gauna,42.82001,-2.49002,natural;building,natural
