provincia,linea_playa,linea_montana
Álava,2,2
Albacete,2,2
Alicante,1,3
Almería,1,2
Asturias,1,1
Ávila,0,1
Badajoz,3,0
Illes Balears,1,2
Barcelona,1,2
Burgos,2,2
Cáceres,0,3
Cádiz,1,0
Cantabria,1,1
Castellón,1,2
Ciudad Real,3,2
Córdoba,2,2
A Coruña,1,3
Cuenca,2,2
Girona,1,1
Granada,1,1
Guadalajara,0,1
Gipuzkoa,1,2
Huelva,1,0
Huesca,2,1
Jaén,2,2
León,2,1
Lleida,2,1
Lugo,1,2
Madrid,3,2
Málaga,1,2
Murcia,1,2
Navarra,2,2
Ourense,2,2
Palencia,2,2
Las Palmas,1,2
Pontevedra,1,3
La Rioja,2,2
Salamanca,0,2
Segovia,3,1
Sevilla,2,0
Soria,3,1
Tarragona,1,2
Santa Cruz de Tenerife,1,2
Teruel,2,1
Toledo,0,2
Valencia,1,0
Valladolid,3,0
Bizkaia,1,2
Zamora,3,2
Zaragoza,2,1
Ceuta,1,0
Melilla,1,0
