municipio,cod_ine,titulares,numero_declaraciones,numero_habitantes,posicionamiento_renta_bruta_media_nivel_nacional,posicionamiento_renta_bruta_media_nivel_autonomico,renta_bruta_media,renta_disponible_media
Macael,04062,2.829,2.250,5.480,244,8,30.508,25.053
Pulpí,04075,5.691,5.215,10.358,409,21,28.582,23.689
Almería,04013,103.233,91.544,201.322,763,37,25.682,21.136
Carboneras,04032,4.301,3.595,8.105,1.022,56,23.911,19.985
Roquetas de Mar,04079,51.011,46.178,98.433,1.200,75,23.012,19.176
Huércal de Almería,04052,9.824,8.625,17.917,1.286,82,22.578,18.978
Mojácar,04064,3.065,2.765,6.778,1.317,84,22.400,18.690
Vera,04100,8.282,7.294,16.996,1.459,108,21.578,18.129
Tíjola,04092,1.668,1.422,3.548,1.549,114,21.060,17.757
Olula del Río,04069,3.297,2.696,6.256,1.560,117,21.025,17.796
Huércal-Overa,04053,9.965,8.843,19.432,1.686,132,20.455,17.407
Benahadux,04024,2.292,1.934,4.481,1.718,143,20.325,17.460
Dalías,04038,1.969,1.716,4.066,1.775,152,20.123,17.249
Serón,04083,924,796,2.033,1.789,156,20.059,17.127
Garrucha,04049,4.596,3.964,9.520,1.905,171,19.556,16.740
Purchena,04076,759,646,1.664,1.910,173,19.533,16.665
Pechina,04074,1.924,1.681,4.103,1.951,180,19.376,16.690
Fines,04044,1.039,862,2.104,1.963,184,19.327,16.586
Albox,04006,5.461,4.757,12.083,1.972,187,19.282,16.586
Cantoria,04031,1.542,1.321,3.365,1.991,191,19.179,16.543
Viator,04101,2.789,2.398,5.978,2.024,200,19.002,16.544
Gádor,04047,1.263,1.086,3.034,2.027,201,18.998,16.483
Ejido (El),04902,44.287,39.792,83.758,2.046,205,18.904,16.193
Chirivel,04037,820,725,1.489,2.094,219,18.670,16.229
Alhama de Almería,04011,1.857,1.537,3.691,2.158,239,18.408,16.119
Cuevas del Almanzora,04035,7.154,6.250,14.455,2.168,246,18.345,15.908
Antas,04016,1.792,1.554,3.315,2.200,255,18.212,15.661
Vélez-Rubio,04099,3.689,3.217,6.546,2.245,267,18.022,15.703
Gallardos (Los),04048,1.439,1.248,2.902,2.270,275,17.934,15.656
Adra,04003,12.046,10.381,25.412,2.293,283,17.825,15.501
Berja,04029,6.052,5.203,12.563,2.335,298,17.621,15.304
Balanegra,04904,1.588,1.417,3.105,2.396,321,17.317,15.135
Rioja,04078,633,550,1.453,2.411,326,17.234,15.110
Sorbas,04086,1.095,933,2.436,2.415,328,17.203,15.124
Zurgena,04103,1.403,1.218,2.956,2.477,346,16.900,14.982
Turre,04093,1.666,1.460,3.781,2.516,361,16.701,14.684
Vícar,04102,12.598,11.324,26.899,2.549,376,16.570,14.586
Vélez-Blanco,04098,961,839,1.874,2.584,390,16.382,14.575
Tabernas,04088,1.666,1.491,3.717,2.630,411,16.137,14.243
Arboleas,04017,1.891,1.649,4.624,2.640,416,16.098,14.361
Oria,04070,1.033,885,2.239,2.671,435,15.867,14.125
Lubrín,04059,712,632,1.449,2.696,444,15.727,14.256
Abla,04001,544,491,1.248,2.709,451,15.629,13.844
Partaloa,04072,274,232,1.035,2.713,454,15.613,13.809
María,04063,726,634,1.230,2.722,459,15.551,13.936
Láujar de Andarax,04057,801,631,1.527,2.734,466,15.460,13.634
Fiñana,04045,1.126,946,1.984,2.749,474,15.330,13.835
Abrucena,04002,623,534,1.183,2.777,495,15.097,13.668
Gérgal,04050,413,360,1.080,2.779,496,15.093,13.547
Mojonera (La),04903,4.683,4.215,9.191,2.784,499,15.071,13.448
Canjáyar,04030,502,437,1.189,2.785,500,15.070,13.484
Níjar,04066,16.466,14.881,31.666,2.797,509,14.981,13.365
Agrupación municipios pequeños Almería,04,8.343,7.159,20.892,-,-,15.879,14.130
San Roque,11033,14.407,11.870,31.571,331,17,29.289,24.192
Cádiz,11012,60.617,51.479,115.439,359,19,29.055,23.932
Algeciras,11004,57.218,46.649,123.078,378,20,28.887,23.529
Puerto de Santa María (El),11027,42.932,35.174,88.703,467,24,28.018,23.073
Barrios (Los),11008,11.836,9.611,23.777,489,25,27.741,22.698
San Fernando,11031,48.868,38.573,95.001,735,36,25.914,21.748
Línea de la Concepción (La),11022,25.919,21.427,63.630,776,41,25.600,21.768
Puerto Real,11028,22.085,17.645,41.700,831,47,25.272,21.155
Rota,11030,15.534,12.548,29.282,903,48,24.768,20.974
Jerez de la Frontera,11020,101.812,83.169,213.105,919,49,24.645,20.640
Chiclana de la Frontera,11015,41.991,33.683,85.150,1.121,68,23.389,19.688
Tarifa,11035,8.934,7.649,18.183,1.241,79,22.806,19.266
Conil de la Frontera,11014,11.667,9.553,22.775,1.350,89,22.174,18.652
Castellar de la Frontera,11013,1.435,1.167,3.057,1.383,95,22.015,18.660
Bosque (El),11011,1.034,888,2.137,1.710,139,20.364,17.298
Sanlúcar de Barrameda,11032,32.019,25.798,69.205,1.774,151,20.124,17.264
Ubrique,11038,8.783,7.409,16.605,1.877,164,19.639,16.847
Jimena de la Frontera,11021,3.280,2.664,6.707,1.884,165,19.622,16.918
Vejer de la Frontera,11039,6.345,5.144,12.622,1.924,176,19.482,16.860
Medina Sidonia,11023,5.890,4.702,11.773,2.032,203,18.983,16.479
Trebujena,11037,3.551,3.142,7.016,2.047,206,18.896,16.425
Alcalá de los Gazules,11001,2.711,2.174,5.226,2.064,209,18.853,16.265
Villamartín,11041,5.987,5.100,12.134,2.087,215,18.691,16.199
Barbate,11007,10.081,8.263,22.556,2.098,220,18.659,16.251
San Martín del Tesorillo,11903,1.131,914,2.801,2.136,230,18.525,16.203
Chipiona,11016,8.314,6.775,19.246,2.165,244,18.371,15.934
Arcos de la Frontera,11006,15.145,12.403,30.818,2.169,247,18.345,15.982
Algodonales,11005,2.837,2.315,5.506,2.238,264,18.041,15.902
Olvera,11024,4.586,3.822,8.062,2.286,280,17.847,15.658
Algar,11003,669,541,1.428,2.303,287,17.799,15.576
Espera,11017,1.840,1.485,3.869,2.314,291,17.719,15.569
Benalup-Casas Viejas,11901,3.781,3.112,6.986,2.322,293,17.700,15.518
Paterna de Rivera,11025,2.709,2.103,5.453,2.434,329,17.126,15.098
Setenil de las Bodegas,11034,1.449,1.198,2.741,2.483,348,16.879,15.068
Prado del Rey,11026,2.819,2.318,5.590,2.500,355,16.761,14.663
Zahara,11042,695,586,1.379,2.518,362,16.699,14.967
San José del Valle,11902,2.104,1.715,4.433,2.545,373,16.578,14.704
Bornos,11010,3.849,3.193,7.654,2.573,386,16.441,14.632
Grazalema,11019,1.094,912,2.013,2.583,389,16.387,14.491
Gastor (El),11018,1.040,879,1.729,2.695,443,15.728,14.176
Alcalá del Valle,11002,2.790,2.260,5.043,2.720,457,15.569,14.090
Puerto Serrano,11029,3.653,3.084,6.942,2.868,551,13.871,12.688
Agrupación municipios pequeños Cádiz,11,919,783,1.924,-,-,17.004,14.843
Córdoba,14021,171.934,147.303,326.039,606,31,26.817,21.984
Peñarroya-Pueblonuevo,14052,5.582,4.323,10.561,1.096,63,23.533,19.682
Montilla,14042,13.081,10.709,22.739,1.361,90,22.145,18.720
Pozoblanco,14054,10.128,8.698,17.204,1.387,96,21.992,18.463
Belmez,14009,1.590,1.208,2.921,1.402,101,21.926,18.605
Añora,14006,871,746,1.530,1.522,112,21.170,17.923
Puente Genil,14056,14.567,11.970,29.943,1.662,129,20.565,17.516
Espiel,14026,1.229,997,2.405,1.694,134,20.438,17.509
Villafranca de Córdoba,14067,2.527,2.129,4.860,1.711,140,20.363,17.422
Fernán-Núñez,14027,5.521,4.709,9.651,1.786,155,20.072,17.133
Lucena,14038,21.493,17.572,42.733,1.887,167,19.621,16.808
Cabra,14013,10.960,9.355,20.347,1.948,179,19.382,16.613
Obejo,14047,957,803,2.008,1.970,186,19.284,16.656
Victoria (La),14065,1.235,1.061,2.289,2.085,213,18.724,16.364
Palma del Río,14049,10.189,8.839,20.928,2.127,228,18.553,16.022
