municipio,universidades,num_universidades
Madrid,Centros autorizados para impartir Enseñanzas Artísticas Superiores;Universidad de Diseño, Innovación y Tecnología (UDIT);Centros dependientes del Ministerio de Defensa;Centros extranjeros autorizados por la Comunidad de Madrid;Universidad Autónoma de Madrid;Universidad Antonio de Nebrija;Otros Centros de Nivel Universitario;Universidad a Distancia de Madrid;Universidad Alfonso X El Sabio;CUNEF Universidad;IE Universidad;Universidad Camilo José Cela;Universidad Complutense de Madrid;Universidad de Alcalá;Universidad de Deusto;Universidad de Lleida;Universidad de Navarra;Universidad Internacional de la Empresa;Universidad Internacional Menéndez Pelayo;Universidad Internacional Villanueva;Universidad Nacional de Educación a Distancia;Universidad Politécnica de Madrid;Universidad Pontificia Comillas;Universidad Ramón Llull;Universidad Pontificia de Salamanca;Universidad Rey Juan Carlos;Universidad San Pablo-CEU,27
Bilbao,Centros extranjeros autorizados por la Comunidad Autónoma del País Vasco;Universidad de Deusto;Universidad del País Vasco/Euskal Herriko Unibertsitatea,3
Santander,Centros extranjeros autorizados por la Comunidad Autónoma de Cantabria;Universidad de Cantabria;Universidad Internacional Menéndez Pelayo;Universidad Europea del Atlántico,4
Markina-Xemein,Centros extranjeros autorizados por la Comunidad Autónoma del País Vasco,1
Marbella,Centros extranjeros autorizados por la Comunidad de Andalucía,1
Málaga,Centros extranjeros autorizados por la Comunidad de Andalucía;Universidad de Málaga,2
Leganés,Universidad Autónoma de Madrid;Universidad Carlos III de Madrid,2
Hoyo de Manzanares,Universidad Antonio de Nebrija,1
Palma de Mallorca,Universidad Antonio de Nebrija;Universidad Internacional Menéndez Pelayo;Universidad Pontificia Comillas;Universitat de les Illes Balears,4
Barcelona,Universidad Autónoma de Barcelona;Otros Centros de Nivel Universitario;Universidad de Barcelona;Universidad de Girona;Universidad de Lleida;Universidad de Navarra;Universidad de Vic-Universidad Central de Catalunya;Universidad Politécnica de Catalunya;Universidad Pompeu Fabra;Universidad Ramón Llull;Universidad Rovira i Virgili;Universitat Abat Oliba CEU;Universitat Oberta de Catalunya;Universitat Internacional de Catalunya,14
Cerdanyola del Vallès,Universidad Autónoma de Barcelona,1
Badalona,Universidad Autónoma de Barcelona,1
Cartagena,Universidad Autónoma de Barcelona;Universidad Católica San Antonio;Universidad de Barcelona;Universidad de Murcia;Universidad de Salamanca;Universidad Politécnica de Cartagena,6
Sabadell,Universidad Autónoma de Barcelona;Universidad Ramón Llull,2
Manresa,Universidad Autónoma de Barcelona;Universidad de Vic-Universidad Central de Catalunya;Universidad Politécnica de Catalunya,3
Terrassa,Universidad Autónoma de Barcelona;Universidad de Barcelona;Universidad Politécnica de Catalunya,3
Sant Cugat del Vallès,Universidad Autónoma de Barcelona;Universidad Politécnica de Catalunya;Universitat Internacional de Catalunya,3
Carlota (La),Otros Centros de Nivel Universitario,1
Granada,Otros Centros de Nivel Universitario;Universidad de Granada;Universidad de Jaén;Universidad Loyola Andalucía,4
Vitoria-Gasteiz,Otros Centros de Nivel Universitario;Universidad del País Vasco/Euskal Herriko Unibertsitatea;Universidad Euneiz,3
Salamanca,Otros Centros de Nivel Universitario;IE Universidad;Universidad de Salamanca;Universidad Pontificia de Salamanca,4
Burgos,Otros Centros de Nivel Universitario;Universidad de Burgos;Universidad Internacional Isabel I de Castilla,3
