Provincia,Municipio,Localidad,Nombre,Ubicación
BURGOS,Miranda de Ebro,MIRANDA DE EBRO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MIRANDA ESTE
BURGOS,Oña,OÑA,CENTRO DE GUARDIA (CG),CONSULTORIO LOCAL OÑA
BURGOS,Pampliega,PAMPLIEGA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD PAMPLIEGA
BURGOS,Pradoluengo,PRADOLUENGO,CENTRO DE GUARDIA (CG),CONSULTORIO LOCAL PRADOLUENGO
BURGOS,Quintanar de la Sierra,QUINTANAR DE LA SIERRA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD QUINTANAR DE LA SIERRA
BURGOS,Roa,ROA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ROA DE DUERO
BURGOS,Salas de los Infantes,SALAS DE LOS INFANTES,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SALAS DE LOS INFANTES
BURGOS,Valle de Losa,QUINCOCES DE YUSO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD QUINCOCES DE YUSO
BURGOS,Valle de Mena,VILLASANA DE MENA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLASANA DE MENA
BURGOS,Valle de Sedano,SEDANO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SEDANO
BURGOS,Valle de Tobalina,QUINTANA MARTÍN GALINDEZ,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD QUINTANA MARTÍN GALINDEZ
BURGOS,Valle de Valdebezana,SONCILLO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VALLE DE VALDEBEZANA
BURGOS,Villadiego,VILLADIEGO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLADIEGO
BURGOS,Villarcayo de Merindad de Castilla la Vieja,VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLARCAYO
TOLEDO,Santa Cruz de la Zarza,SANTA CRUZ DE LA ZARZA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SANTA CRUZ ZARZA
TOLEDO,Santa Olalla,SANTA OLALLA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SANTA OLALLA
TOLEDO,Seseña,SESEÑA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SESEÑA
TOLEDO,Sonseca,SONSECA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SONSECA
