municipio,provincia,codigo_ine,num_universidades
Ababuj,Teruel,44001,0
Abades,Segovia,40001,0
Abadía,Cáceres,10001,0
Abadín,Lugo,27001,0
Abadiño,Bizkaia,48001,0
Abáigar,Navarra,31001,0
Abajas,Burgos,9001,0
Ábalos,La Rioja,26001,0
Abaltzisketa,Gipuzkoa,20001,0
Abánades,Guadalajara,19001,0
Abanilla,Murcia,30001,0
Abanto,Zaragoza,50001,0
Abanto y Ciérvana-Abanto Zierbena,Bizkaia,48002,0
Abarán,Murcia,30002,0
Abarca de Campos,Palencia,34001,0
Abárzuza/Abartzuza,Navarra,31002,0
Abaurregaina/Abaurrea Alta,Navarra,31003,0
Abaurrepea/Abaurrea Baja,Navarra,31004,0
Abegondo,A Coruña,15001,0
Abejar,Soria,42001,0
Abejuela,Teruel,44002,0
Abella de la Conca,Lleida,25001,0
Abengibre,Albacete,2001,0
Abenójar,Ciudad Real,13001,0
Aberin,Navarra,31005,0
Abertura,Cáceres,10002,0
Abezames,Zamora,49002,0
Abia de la Obispalía,Cuenca,16001,0
Abia de las Torres,Palencia,34003,0
Abiego,Huesca,22001,0
Abizanda,Huesca,22002,0
Abla,Almería,4001,0
Ablanque,Guadalajara,19002,0
Ablitas,Navarra,31006,0
Abrera,Barcelona,8001,0
Abrucena,Almería,4002,0
Abusejo,Salamanca,37001,0
Acebeda (La),Madrid,28001,0
Acebedo,León,24001,0
Acebo,Cáceres,10003,0
Acebrón (El),Cuenca,16002,0
Acedera,Badajoz,6001,0
Acehúche,Cáceres,10004,0
Aceituna,Cáceres,10005,0
Acered,Zaragoza,50002,0
Aceuchal,Badajoz,6002,0
Adahuesca,Huesca,22003,0
Adalia,Valladolid,47001,0
Adamuz,Córdoba,14001,0
Adanero,Ávila,5001,0
Adeje,Santa Cruz de Tenerife,38001,0
Ademuz,Valencia,46001,0
Adiós,Navarra,31007,0
Adobes,Guadalajara,19003,0
Ador,Valencia,46002,0
Adra,Almería,4003,0
Adrada (La),Ávila,5002,0
Adrada de Haza,Burgos,9003,0
Adrada de Pirón,Segovia,40002,0
Adradas,Soria,42003,0
Adrados,Segovia,40003,0
Aduna,Gipuzkoa,20002,0
Agaete,Las Palmas,35001,0
Agallas,Salamanca,37002,0
Àger,Lleida,25002,0
Agolada,Pontevedra,36020,0
Agón,Zaragoza,50003,0
Agoncillo,La Rioja,26002,0
Agost,Alicante,3002,0
Agramunt,Lleida,25003,0
Ágreda,Soria,42004,0
Agres,Alicante,3003,0
Agrón,Granada,18001,0
Aguadulce,Sevilla,41001,0
Aguarón,Zaragoza,50004,0
Aguas Cándidas,Burgos,9006,0
Aguasal,Valladolid,47002,0
Aguatón,Teruel,44003,0
Aguaviva,Teruel,44004,0
Agudo,Ciudad Real,13002,0
Agüero,Huesca,22004,0
Aguilafuente,Segovia,40004,0
Aguilar de Bureba,Burgos,9007,0
Aguilar de Campoo,Palencia,34004,0
Aguilar de Campos,Valladolid,47003,0
Aguilar de Codés,Navarra,31008,0
Aguilar de la Frontera,Córdoba,14002,0
Aguilar de Segarra,Barcelona,8002,0
Aguilar del Alfambra,Teruel,44005,0
Aguilar del Río Alhama,La Rioja,26003,0
Águilas,Murcia,30003,0
Aguilón,Zaragoza,50005,0
Agüimes,Las Palmas,35002,0
Agullana,Girona,17001,0
Agullent,Valencia,46004,0
Agulo,Santa Cruz de Tenerife,38002,0
Agurain/Salvatierra,Álava,1051,0
Ahigal,Cáceres,10006,0
Ahigal de los Aceiteros,Salamanca,37003,0
Ahigal de Villarino,Salamanca,37004,0
Ahillones,Badajoz,6003,0
Aia,Gipuzkoa,20016,0
Aibar/Oibar,Navarra,31009,0
Aielo de Malferit,Valencia,46042,0
Aielo de Rugat,Valencia,46043,0
Aiguafreda,Barcelona,8014,0
Aiguamúrcia,Tarragona,43001,0
Aiguaviva,Girona,17002,0
Aigües,Alicante,3004,0
Aín,Castellón,12002,0
Aínsa-Sobrarbe,Huesca,22907,0
Ainzón,Zaragoza,50006,0
Aisa,Huesca,22006,0
Aitona,Lleida,25038,0
Aizarnazabal,Gipuzkoa,20003,0
Ajalvir,Madrid,28002,0
Ajamil de Cameros,La Rioja,26004,0
Ajangiz,Bizkaia,48911,0
Ajofrín,Toledo,45001,0
Alacón,Teruel,44006,0
Aladrén,Zaragoza,50007,0
Alaejos,Valladolid,47004,0
Alagón,Zaragoza,50008,0
Alagón del Río,Cáceres,10903,0
Alaior,Illes Balears,7002,1
Alájar,Huelva,21001,0
Alajeró,Santa Cruz de Tenerife,38003,0
Alameda,Málaga,29001,0
Alameda de Gardón (La),Salamanca,37005,0
Alameda de la Sagra,Toledo,45002,0
Alameda del Valle,Madrid,28003,0
Alamedilla,Granada,18002,0
Alamedilla (La),Salamanca,37006,0
Alamillo,Ciudad Real,13003,0
Alaminos,Guadalajara,19004,0
Álamo (El),Madrid,28004,0
Alamús (Els),Lleida,25004,0
Alange,Badajoz,6004,0
Alanís,Sevilla,41002,0
Alaquàs,Valencia,46005,0
Alar del Rey,Palencia,34005,0
Alaraz,Salamanca,37007,0
Alarba,Zaragoza,50009,0
Alarcón,Cuenca,16003,0
Alarilla,Guadalajara,19005,0
Alaró,Illes Balears,7001,0
Alàs i Cerc,Lleida,25005,0
Alatoz,Albacete,2002,0
Alba,Teruel,44007,0
Alba de Cerrato,Palencia,34006,0
Alba de Tormes,Salamanca,37008,0
Alba de Yeltes,Salamanca,37009,0
Albacete,Albacete,2003,1
Albagés (L'),Lleida,25006,0
Albaida,Valencia,46006,0
Albaida del Aljarafe,Sevilla,41003,0
Albal,Valencia,46007,1
Albalá,Cáceres,10007,0
Albaladejo,Ciudad Real,13004,0
Albaladejo del Cuende,Cuenca,16004,0
Albalat de la Ribera,Valencia,46008,0
Albalat dels Sorells,Valencia,46009,0
Albalat dels Tarongers,Valencia,46010,0
Albalate de Cinca,Huesca,22007,0
Albalate de las Nogueras,Cuenca,16005,0
Albalate de Zorita,Guadalajara,19006,0
Albalate del Arzobispo,Teruel,44008,0
Albalatillo,Huesca,22008,0
Albanchez,Almería,4004,0
Albanchez de Mágina,Jaén,23001,0
Albanyà,Girona,17003,0
Albares,Guadalajara,19007,0
Albarracín,Teruel,44009,0
Albarreal de Tajo,Toledo,45003,0
Albatana,Albacete,2004,0
Albatàrrec,Lleida,25007,0
Albatera,Alicante,3005,0
Albelda,Huesca,22009,0
Albelda de Iregua,La Rioja,26005,0
Albendea,Cuenca,16006,0
Albendiego,Guadalajara,19008,0
Albentosa,Teruel,44010,0
Alberca (La),Salamanca,37010,0
Alberca de Záncara (La),Cuenca,16007,0
Alberguería de Argañán (La),Salamanca,37011,0
Alberic,Valencia,46011,0
Alberite,La Rioja,26006,0
Alberite de San Juan,Zaragoza,50010,0
Albero Alto,Huesca,22011,0
Albero Bajo,Huesca,22012,0
Alberuela de Tubo,Huesca,22013,0
Albesa,Lleida,25008,0
Albeta,Zaragoza,50011,0
Albi (L'),Lleida,25009,0
Albillos,Burgos,9009,0
Albinyana,Tarragona,43002,0
Albiol (L'),Tarragona,43003,0
Albiztur,Gipuzkoa,20004,0
Albocàsser,Castellón,12003,0
Alboloduy,Almería,4005,0
Albolote,Granada,18003,0
Albondón,Granada,18004,0
Albons,Girona,17004,0
Alborache,Valencia,46012,0
Alboraia/Alboraya,Valencia,46013,0
Alborea,Albacete,2005,0
Alborge,Zaragoza,50012,0
Albornos,Ávila,5005,0
Albox,Almería,4006,0
Albudeite,Murcia,30004,0
Albuera (La),Badajoz,6005,0
Albuixech,Valencia,46014,0
Albuñán,Granada,18005,0
Albuñol,Granada,18006,0
Albuñuelas,Granada,18007,0
Alburquerque,Badajoz,6006,0
Alcabón,Toledo,45004,0
Alcadozo,Albacete,2006,0
Alcaine,Teruel,44011,0
Alcalá de Ebro,Zaragoza,50013,0
Alcalá de Guadaíra,Sevilla,41004,0
Alcalá de Gurrea,Huesca,22014,0
Alcalá de Henares,Madrid,28005,1
Alcalá de la Selva,Teruel,44012,0
Alcalá de la Vega,Cuenca,16008,0
Alcalá de los Gazules,Cádiz,11001,0
Alcalá de Moncayo,Zaragoza,50014,0
Alcalà de Xivert,Castellón,12004,0
Alcalá del Júcar,Albacete,2007,0
Alcalá del Obispo,Huesca,22015,0
Alcalá del Río,Sevilla,41005,0
Alcalá del Valle,Cádiz,11002,0
Alcalá la Real,Jaén,23002,0
Alcalalí,Alicante,3006,0
Alcampell,Huesca,22016,0
Alcanadre,La Rioja,26007,0
Alcanar,Tarragona,43004,0
Alcanó,Lleida,25010,0
Alcántara,Cáceres,10008,0
Alcantarilla,Murcia,30005,0
Alcàntera de Xúquer,Valencia,46016,0
Alcantud,Cuenca,16009,0
Alcañices,Zamora,49003,0
Alcañiz,Teruel,44013,0
Alcañizo,Toledo,45005,0
Alcaracejos,Córdoba,14003,0
Alcaraz,Albacete,2008,0
Alcarràs,Lleida,25011,0
Alcàsser,Valencia,46015,0
Alcaucín,Málaga,29002,0
Alcaudete,Jaén,23003,0
Alcaudete de la Jara,Toledo,45006,0
Alcázar de San Juan,Ciudad Real,13005,0
Alcázar del Rey,Cuenca,16010,0
Alcazarén,Valladolid,47005,0
Alcázares (Los),Murcia,30902,0
Alcoba,Ciudad Real,13006,0
Alcobendas,Madrid,28006,3
Alcocer,Guadalajara,19009,0
Alcocer de Planes,Alicante,3007,0
Alcocero de Mola,Burgos,9010,0
Alcohujate,Cuenca,16011,0
Alcolea,Almería,4007,0
Alcolea de Calatrava,Ciudad Real,13007,0
Alcolea de Cinca,Huesca,22017,0
Alcolea de las Peñas,Guadalajara,19010,0
Alcolea de Tajo,Toledo,45007,0
Alcolea del Pinar,Guadalajara,19011,0
Alcolea del Río,Sevilla,41006,0
Alcoleja,Alicante,3008,0
Alcoletge,Lleida,25012,0
Alcollarín,Cáceres,10009,0
Alconaba,Soria,42006,0
Alconada,Salamanca,37012,0
Alconada de Maderuelo,Segovia,40005,0
Alconchel,Badajoz,6007,0
Alconchel de Ariza,Zaragoza,50015,0
Alconchel de la Estrella,Cuenca,16012,0
Alconera,Badajoz,6008,0
Alcóntar,Almería,4008,0
Alcora (L'),Castellón,12005,0
Alcorcón,Madrid,28007,4
Alcorisa,Teruel,44014,0
Alcoroches,Guadalajara,19013,0
Alcover,Tarragona,43005,0
Alcoy/Alcoi,Alicante,3009,1
Alcubierre,Huesca,22018,0
Alcubilla de Avellaneda,Soria,42007,0
Alcubilla de las Peñas,Soria,42008,0
Alcubilla de Nogales,Zamora,49004,0
Alcubillas,Ciudad Real,13008,0
Alcublas,Valencia,46018,0
Alcúdia,Illes Balears,7003,0
Alcúdia (L'),Valencia,46019,0
Alcúdia de Crespins (L'),Valencia,46020,0
Alcudia de Monteagud,Almería,4009,0
Alcudia de Veo,Castellón,12006,0
Alcuéscar,Cáceres,10010,0
Aldaia,Valencia,46021,0
Aldea (L'),Tarragona,43904,0
Aldea de San Miguel,Valladolid,47006,0
Aldea de San Nicolás (La),Las Palmas,35020,0
Aldea del Cano,Cáceres,10012,0
Aldea del Fresno,Madrid,28008,0
Aldea del Obispo,Salamanca,37015,0
Aldea del Obispo (La),Cáceres,10013,0
Aldea del Rey,Ciudad Real,13009,0
Aldea en Cabo,Toledo,45008,0
Aldea Real,Segovia,40012,0
Aldeacentenera,Cáceres,10011,0
Aldeacipreste,Salamanca,37013,0
Aldeadávila de la Ribera,Salamanca,37014,0
Aldealafuente,Soria,42009,0
Aldealcorvo,Segovia,40006,0
Aldealengua,Salamanca,37016,0
Aldealengua de Pedraza,Segovia,40007,0
Aldealengua de Santa María,Segovia,40008,0
Aldealices,Soria,42010,0
Aldealpozo,Soria,42011,0
Aldealseñor,Soria,42012,0
Aldeamayor de San Martín,Valladolid,47007,0
Aldeanueva de Barbarroya,Toledo,45009,0
Aldeanueva de Ebro,La Rioja,26008,0
Aldeanueva de Figueroa,Salamanca,37017,0
Aldeanueva de Guadalajara,Guadalajara,19015,0
Aldeanueva de la Serrezuela,Segovia,40009,0
Aldeanueva de la Sierra,Salamanca,37018,0
Aldeanueva de la Vera,Cáceres,10014,0
Aldeanueva de San Bartolomé,Toledo,45010,0
Aldeanueva de Santa Cruz,Ávila,5007,0
Aldeanueva del Camino,Cáceres,10015,0
Aldeanueva del Codonal,Segovia,40010,0
Aldeaquemada,Jaén,23004,0
Aldearrodrigo,Salamanca,37019,0
Aldearrubia,Salamanca,37020,0
Aldeaseca,Ávila,5008,0
Aldeaseca de Alba,Salamanca,37021,0
Aldeaseca de la Frontera,Salamanca,37022,0
Aldeasoña,Segovia,40013,0
Aldeatejada,Salamanca,37023,0
Aldeavieja de Tormes,Salamanca,37024,0
Aldehorno,Segovia,40014,0
Aldehuela (La),Ávila,5010,0
Aldehuela de Jerte,Cáceres,10016,0
Aldehuela de la Bóveda,Salamanca,37025,0
Aldehuela de Liestos,Zaragoza,50016,0
Aldehuela de Periáñez,Soria,42013,0
Aldehuela de Yeltes,Salamanca,37026,0
Aldehuela del Codonal,Segovia,40015,0
Aldehuelas (Las),Soria,42014,0
Aldeire,Granada,18010,0
Aldeonte,Segovia,40016,0
Aldover,Tarragona,43006,0
Aledo,Murcia,30006,0
Alegia,Gipuzkoa,20005,0
Alegría-Dulantzi,Álava,1001,0
Aleixar (L'),Tarragona,43007,0
Alella,Barcelona,8003,0
Alentisque,Soria,42015,0
Alerre,Huesca,22019,0
Alesanco,La Rioja,26009,0
Alesón,La Rioja,26010,0
Alfacar,Granada,18011,0
